date,team,player,role,MP,FG,FGA,FG_PCT,FG3,FG3A,FG3_PCT,FT,FTA,FT_PCT,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS
2018-10-17T20:00:00,New Orleans Pelicans Basic and Advanced Stats Table,Jrue Holiday,Starter,38.63333333333333,5,12,0.417,0,6,0.0,0,0,,0,3,3,8,2,0,3,3,10,26.0
2018-10-17T20:00:00,New Orleans Pelicans Basic and Advanced Stats Table,Elfrid Payton,Starter,36.6,5,13,0.385,0,2,0.0,0,2,0.0,1,9,10,10,1,0,1,3,10,23.0
2018-10-17T20:00:00,New Orleans Pelicans Basic and Advanced Stats Table,E'Twaun Moore,Starter,33.55,8,12,0.667,1,3,0.333,4,4,1.0,2,1,3,2,1,0,2,5,21,30.0
2018-10-17T20:00:00,New Orleans Pelicans Basic and Advanced Stats Table,Anthony Davis,Starter,39.65,13,21,0.619,0,0,,6,7,0.857,2,14,16,8,3,3,1,5,32,23.0
2018-10-17T20:00:00,New Orleans Pelicans Basic and Advanced Stats Table,Darius Miller,Reserve,19.316666666666663,0,2,0.0,0,1,0.0,0,0,,0,0,0,1,1,0,2,2,0,-5.0
2018-10-17T20:00:00,New Orleans Pelicans Basic and Advanced Stats Table,Solomon Hill,Reserve,12.2,1,3,0.333,1,1,1.0,0,0,,0,2,2,1,0,0,0,2,3,-13.0
2018-10-17T20:00:00,New Orleans Pelicans Basic and Advanced Stats Table,Cheick Diallo,Reserve,1.0166666666666666,0,0,,0,0,,0,0,,0,2,2,0,0,0,0,0,0,-2.0
2018-10-17T20:00:00,New Orleans Pelicans Basic and Advanced Stats Table,Frank Jackson,Reserve,1.0166666666666666,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2.0
2018-10-17T20:00:00,New Orleans Pelicans Basic and Advanced Stats Table,Julius Randle,Reserve,23.383333333333333,9,15,0.6,2,4,0.5,5,6,0.833,2,6,8,3,0,0,0,4,25,5.0
2018-10-17T20:30:00,San Antonio Spurs Basic and Advanced Stats Table,DeMar DeRozan,Starter,38.63333333333333,10,21,0.476,1,3,0.333,7,11,0.636,0,4,4,4,0,0,3,3,28,7.0
