Unnamed: 0,Date,Home,Away,OU,Spread,ML_Home,ML_Away,Points,Win_Margin,Days_Rest_Home,Days_Rest_Away,Home_Prob,Away_Prob,Home_Odds,Away_Odds,weekday,home_score,away_score,attendance,overtime,remarks
0,10-25,Atlanta Hawks,Detroit Pistons,224.5,16.5,-100000,8500,226,18,7,7,0.001,0.0117647058823529,1000.0,85.0,Monday,122,104,17341,,
0,10-25,Minnesota Timberwolves,New Orleans Pelicans,202.5,-11.5,6000,-100000,205,-9,7,7,0.0166666666666666,0.001,60.0,1000.0,Monday,98,107,17341,,
0,10-25,Denver Nuggets,Cleveland Cavaliers,188.5,-12.5,8500,-100000,186,-12,7,7,0.0117647058823529,0.001,85.0,1000.0,Monday,87,99,17341,,
0,10-25,Los Angeles Clippers,Portland Trail Blazers,199.5,28.5,-50000,3500,202,30,7,7,0.002,0.0285714285714285,500.0,35.0,Monday,116,86,17341,,
0,10-26,New York Knicks,Philadelphia 76ers,209.5,14.5,-50000,3500,211,13,2,2,0.002,0.0285714285714285,500.0,35.0,Tuesday,112,99,17341,,
0,10-26,Oklahoma City Thunder,Golden State Warriors,207.5,-8.5,6500,-100000,204,-8,2,2,0.0153846153846153,0.001,65.0,1000.0,Tuesday,98,106,17341,,
0,10-26,Dallas Mavericks,Houston Rockets,224.5,8.5,-100000,6500,222,10,7,2,0.001,0.0153846153846153,1000.0,65.0,Tuesday,116,106,17341,,
0,10-26,San Antonio Spurs,Los Angeles Lakers,249.5,-3.5,330,-460,246,-4,7,2,0.303030303030303,0.2173913043478261,3.3,4.6,Tuesday,121,125,17341,OT,
0,10-26,Utah Jazz,Denver Nuggets,225.5,13.5,-50000,3500,232,12,7,1,0.002,0.0285714285714285,500.0,35.0,Tuesday,122,110,17341,,
0,10-27,Orlando Magic,Charlotte Hornets,231.5,-7.5,8500,-100000,231,-9,2,2,0.0117647058823529,0.001,85.0,1000.0,Wednesday,111,120,17341,,
0,10-27,Boston Celtics,Washington Wizards,225.5,-3.5,320,-450,223,-9,2,2,0.3125,0.2222222222222222,3.2,4.5,Wednesday,107,116,17341,,
0,10-27,Toronto Raptors,Indiana Pacers,214.5,16.5,-100000,8500,218,18,2,2,0.001,0.0117647058823529,1000.0,85.0,Wednesday,118,100,17341,,
0,10-27,Brooklyn Nets,Miami Heat,199.5,-13.5,3500,-50000,199,-13,2,2,0.0285714285714285,0.002,35.0,500.0,Wednesday,93,106,17341,,
0,10-27,New Orleans Pelicans,Atlanta Hawks,201.5,-0.5,158,-200,201,-3,2,2,0.6329113924050632,0.5,1.58,2.0,Wednesday,99,102,17341,,
0,10-27,Milwaukee Bucks,Minnesota Timberwolves,219.5,-3.5,330,-460,221,-5,2,2,0.303030303030303,0.2173913043478261,3.3,4.6,Wednesday,108,113,17341,,
0,10-27,Oklahoma City Thunder,Los Angeles Lakers,235.5,3.5,-2500,980,238,8,1,1,0.04,0.1020408163265306,25.0,9.8,Wednesday,123,115,17341,,
0,10-27,Portland Trail Blazers,Memphis Grizzlies,210.5,19.5,-100000,8500,212,20,2,3,0.001,0.0117647058823529,1000.0,85.0,Wednesday,116,96,17341,,
0,10-27,Phoenix Suns,Sacramento Kings,220.5,0.5,-128,102,217,-3,7,3,0.78125,0.9803921568627452,1.28,1.02,Wednesday,107,110,17341,,
0,10-27,Los Angeles Clippers,Cleveland Cavaliers,175.5,-11.5,3500,-50000,171,-13,2,2,0.0285714285714285,0.002,35.0,500.0,Wednesday,79,92,17341,,
0,10-28,Washington Wizards,Atlanta Hawks,235.5,11.5,-100000,8500,233,11,1,1,0.001,0.0117647058823529,1000.0,85.0,Thursday,122,111,17341,,
