date,team,player,role,MP,FG,FGA,FG_PCT,FG3,FG3A,FG3_PCT,FT,FTA,FT_PCT,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS
2020-12-22T19:00:00,Golden State Warriors Basic and Advanced Stats Table,Andrew Wiggins,Starter,31.516666666666666,4,16,0.25,2,6,0.333,3,4,0.75,0,2,2,1,0,1,4,4,13,-28.0
2020-12-22T19:00:00,Brooklyn Nets Basic and Advanced Stats Table,Tyler Johnson,Reserve,5.083333333333333,0,1,0.0,0,0,,0,0,,1,0,1,0,1,0,0,0,0,-12.0
2020-12-22T19:00:00,Brooklyn Nets Basic and Advanced Stats Table,Rodions Kurucs,Reserve,6.1,1,1,1.0,1,1,1.0,0,0,,0,1,1,0,0,0,0,0,3,-9.0
2020-12-22T19:00:00,Brooklyn Nets Basic and Advanced Stats Table,Timothé Luwawu-Cabarrot,Reserve,6.1,2,6,0.333,1,3,0.333,0,0,,1,1,2,0,0,0,1,2,5,-9.0
2020-12-22T19:00:00,Brooklyn Nets Basic and Advanced Stats Table,Bruce Brown,Reserve,7.116666666666666,1,3,0.333,0,1,0.0,0,0,,0,1,1,1,0,0,2,1,2,-7.0
2020-12-22T19:00:00,Brooklyn Nets Basic and Advanced Stats Table,Reggie Perry,Reserve,7.116666666666666,1,3,0.333,0,1,0.0,0,0,,1,1,2,1,0,0,0,0,2,-8.0
2020-12-22T19:00:00,Brooklyn Nets Basic and Advanced Stats Table,Taurean Prince,Reserve,16.266666666666666,0,1,0.0,0,1,0.0,1,2,0.5,0,1,1,0,1,1,0,1,1,3.0
2020-12-22T19:00:00,Brooklyn Nets Basic and Advanced Stats Table,Jeff Green,Reserve,17.283333333333335,3,4,0.75,1,2,0.5,0,0,,0,0,0,1,1,0,1,3,7,6.0
2020-12-22T19:00:00,Brooklyn Nets Basic and Advanced Stats Table,Jarrett Allen,Reserve,19.316666666666663,2,3,0.667,0,0,,4,5,0.8,3,4,7,2,1,2,2,0,8,12.0
2020-12-22T19:00:00,Brooklyn Nets Basic and Advanced Stats Table,Caris LeVert,Reserve,24.4,6,17,0.353,3,5,0.6,5,6,0.833,1,8,9,5,2,1,2,1,20,18.0
2020-12-22T19:00:00,Brooklyn Nets Basic and Advanced Stats Table,DeAndre Jordan,Starter,17.283333333333335,2,3,0.667,0,0,,0,2,0.0,2,9,11,1,1,1,3,2,4,21.0
2020-12-22T19:00:00,Brooklyn Nets Basic and Advanced Stats Table,Spencer Dinwiddie,Starter,19.316666666666663,2,6,0.333,1,3,0.333,4,4,1.0,0,5,5,4,0,0,3,1,9,24.0
2020-12-22T19:00:00,Brooklyn Nets Basic and Advanced Stats Table,Joe Harris,Starter,20.33333333333333,4,8,0.5,2,5,0.4,0,0,,2,5,7,2,0,1,2,2,10,21.0
2020-12-22T19:00:00,Brooklyn Nets Basic and Advanced Stats Table,Kevin Durant,Starter,24.4,7,16,0.438,1,2,0.5,7,7,1.0,1,4,5,3,3,1,1,3,22,26.0
2020-12-22T19:00:00,Brooklyn Nets Basic and Advanced Stats Table,Landry Shamet,Reserve,19.316666666666663,1,4,0.25,1,4,0.25,3,4,0.75,0,1,1,0,1,0,2,3,6,12.0
2020-12-22T19:00:00,Golden State Warriors Basic and Advanced Stats Table,Mychal Mulder,Reserve,6.1,3,3,1.0,2,2,1.0,0,0,,0,1,1,0,0,0,0,0,8,9.0
2020-12-22T19:00:00,Brooklyn Nets Basic and Advanced Stats Table,Kyrie Irving,Starter,25.416666666666668,10,16,0.625,4,7,0.571,2,2,1.0,1,3,4,4,0,0,1,3,26,32.0
2020-12-22T19:00:00,Golden State Warriors Basic and Advanced Stats Table,Kelly Oubre Jr.,Starter,25.416666666666668,3,14,0.214,0,6,0.0,0,0,,4,3,7,2,1,2,3,1,6,-28.0
2020-12-22T19:00:00,Golden State Warriors Basic and Advanced Stats Table,James Wiseman,Starter,24.4,7,13,0.538,1,1,1.0,4,8,0.5,1,5,6,0,2,0,1,2,19,-10.0
2020-12-22T19:00:00,Golden State Warriors Basic and Advanced Stats Table,Eric Paschall,Starter,21.35,2,6,0.333,1,1,1.0,1,2,0.5,1,0,1,0,0,1,0,1,6,-28.0
2020-12-22T19:00:00,Golden State Warriors Basic and Advanced Stats Table,Brad Wanamaker,Reserve,21.35,0,2,0.0,0,1,0.0,3,4,0.75,0,1,1,3,0,0,1,2,3,1.0
2020-12-22T19:00:00,Golden State Warriors Basic and Advanced Stats Table,Jordan Poole,Reserve,17.283333333333335,1,4,0.25,0,1,0.0,0,0,,0,2,2,3,0,0,2,2,2,-3.0
2020-12-22T19:00:00,Golden State Warriors Basic and Advanced Stats Table,Stephen Curry,Starter,30.5,7,21,0.333,2,10,0.2,4,4,1.0,3,1,4,10,2,0,3,1,20,-23.0
2020-12-22T19:00:00,Golden State Warriors Basic and Advanced Stats Table,Marquese Chriss,Reserve,12.2,4,10,0.4,1,3,0.333,0,0,,3,5,8,1,0,0,0,2,9,-6.0
2020-12-22T19:00:00,Golden State Warriors Basic and Advanced Stats Table,Damion Lee,Reserve,12.2,1,2,0.5,1,1,1.0,0,0,,1,6,7,2,0,0,0,0,3,8.0
2020-12-22T19:00:00,Golden State Warriors Basic and Advanced Stats Table,Kent Bazemore,Reserve,11.183333333333334,1,2,0.5,0,1,0.0,0,0,,0,2,2,2,1,0,2,3,2,-3.0
2020-12-22T19:00:00,Golden State Warriors Basic and Advanced Stats Table,Kevon Looney,Reserve,11.183333333333334,2,4,0.5,0,0,,0,1,0.0,0,2,2,0,0,0,2,3,4,-10.0
2020-12-22T19:00:00,Golden State Warriors Basic and Advanced Stats Table,Juan Toscano-Anderson,Reserve,13.216666666666669,2,2,1.0,0,0,,0,0,,0,4,4,2,0,2,0,3,4,-9.0
2020-12-22T22:00:00,Los Angeles Lakers Basic and Advanced Stats Table,LeBron James,Starter,28.466666666666665,7,17,0.412,3,8,0.375,5,7,0.714,2,3,5,5,0,0,4,2,22,2.0
2020-12-22T22:00:00,Los Angeles Lakers Basic and Advanced Stats Table,Dennis Schröder,Starter,27.45,5,15,0.333,2,5,0.4,2,4,0.5,1,11,12,8,0,0,1,4,14,-10.0
2020-12-22T22:00:00,Los Angeles Lakers Basic and Advanced Stats Table,Kentavious Caldwell-Pope,Starter,23.383333333333333,2,4,0.5,1,3,0.333,4,4,1.0,0,2,2,1,2,1,2,2,9,-9.0
2020-12-22T22:00:00,Los Angeles Lakers Basic and Advanced Stats Table,Marc Gasol,Starter,12.2,0,0,,0,0,,0,0,,0,1,1,1,0,0,1,5,0,-8.0
2020-12-22T22:00:00,Los Angeles Lakers Basic and Advanced Stats Table,Kyle Kuzma,Reserve,26.433333333333334,6,11,0.545,1,3,0.333,2,2,1.0,0,1,1,0,0,0,2,2,15,1.0
2020-12-22T22:00:00,Los Angeles Lakers Basic and Advanced Stats Table,Alex Caruso,Reserve,16.266666666666666,1,5,0.2,1,4,0.25,0,0,,0,2,2,1,0,0,3,0,3,3.0
2020-12-22T22:00:00,Los Angeles Lakers Basic and Advanced Stats Table,Wesley Matthews,Reserve,11.183333333333334,0,2,0.0,0,2,0.0,0,0,,0,0,0,0,1,0,0,0,0,-18.0
2020-12-22T22:00:00,Los Angeles Lakers Basic and Advanced Stats Table,Talen Horton-Tucker,Reserve,10.166666666666666,2,2,1.0,0,0,,2,2,1.0,0,1,1,0,1,0,1,3,6,7.0
2020-12-22T22:00:00,Los Angeles Lakers Basic and Advanced Stats Table,Quinn Cook,Reserve,1.0166666666666666,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,2.0
2020-12-22T22:00:00,Los Angeles Lakers Basic and Advanced Stats Table,Anthony Davis,Starter,30.5,8,15,0.533,0,2,0.0,2,2,1.0,0,7,7,2,0,0,4,1,18,-16.0
2020-12-22T22:00:00,Los Angeles Lakers Basic and Advanced Stats Table,Markieff Morris,Reserve,19.316666666666663,1,3,0.333,1,2,0.5,2,3,0.667,1,3,4,1,0,0,0,0,5,14.0
2020-12-22T22:00:00,Los Angeles Clippers Basic and Advanced Stats Table,Mfiondu Kabengele,Reserve,0.0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2.0
2020-12-22T22:00:00,Los Angeles Lakers Basic and Advanced Stats Table,Montrezl Harrell,Reserve,32.53333333333333,6,7,0.857,0,0,,5,7,0.714,4,6,10,3,0,1,1,1,17,-3.0
