date,home_team,home_score,away_team,away_score,Starter_MP_Home,Starter_FG_Home,Starter_FGA_Home,Starter_FG_PCT_Home,Starter_FG3_Home,Starter_FG3A_Home,Starter_FG3_PCT_Home,Starter_FT_Home,Starter_FTA_Home,Starter_FT_PCT_Home,Starter_ORB_Home,Starter_DRB_Home,Starter_TRB_Home,Starter_AST_Home,Starter_STL_Home,Starter_BLK_Home,Starter_TOV_Home,Starter_PF_Home,Starter_PTS_Home,Starter_PLUS_MINUS_Home,Reserve_MP_Home,Reserve_FG_Home,Reserve_FGA_Home,Reserve_FG_PCT_Home,Reserve_FG3_Home,Reserve_FG3A_Home,Reserve_FG3_PCT_Home,Reserve_FT_Home,Reserve_FTA_Home,Reserve_FT_PCT_Home,Reserve_ORB_Home,Reserve_DRB_Home,Reserve_TRB_Home,Reserve_AST_Home,Reserve_STL_Home,Reserve_BLK_Home,Reserve_TOV_Home,Reserve_PF_Home,Reserve_PTS_Home,Reserve_PLUS_MINUS_Home,Starter_MP_Away,Starter_FG_Away,Starter_FGA_Away,Starter_FG_PCT_Away,Starter_FG3_Away,Starter_FG3A_Away,Starter_FG3_PCT_Away,Starter_FT_Away,Starter_FTA_Away,Starter_FT_PCT_Away,Starter_ORB_Away,Starter_DRB_Away,Starter_TRB_Away,Starter_AST_Away,Starter_STL_Away,Starter_BLK_Away,Starter_TOV_Away,Starter_PF_Away,Starter_PTS_Away,Starter_PLUS_MINUS_Away,Reserve_MP_Away,Reserve_FG_Away,Reserve_FGA_Away,Reserve_FG_PCT_Away,Reserve_FG3_Away,Reserve_FG3A_Away,Reserve_FG3_PCT_Away,Reserve_FT_Away,Reserve_FTA_Away,Reserve_FT_PCT_Away,Reserve_ORB_Away,Reserve_DRB_Away,Reserve_TRB_Away,Reserve_AST_Away,Reserve_STL_Away,Reserve_BLK_Away,Reserve_TOV_Away,Reserve_PF_Away,Reserve_PTS_Away,Reserve_PLUS_MINUS_Away,game_result
2021-10-20T20:00:00.000Z,Memphis Grizzlies,132,Cleveland Cavaliers,121,31.110000000000003,8.0,15.6,0.49559999999999993,2.0,4.8,0.325,2.0,2.0,0.6,2.0,4.6,6.6,3.4,0.6,1.4,1.8,1.2,20.0,4.2,16.470000000000002,2.6,4.4,0.6334,0.8,1.8,0.38,0.4,0.4,0.2,0.6,3.4,4.0,2.2,1.0,0.2,0.2,1.8,6.4,6.8,31.923333333333336,6.8,13.2,0.539,1.6,5.0,0.2838,1.2,2.0,0.35,0.8,4.0,4.8,4.4,1.0,0.8,1.0,1.8,16.4,-6.2,19.825,3.25,6.75,0.5,1.5,3.25,0.35725,1.75,2.0,0.91675,0.75,2.25,3.0,4.0,0.25,0.25,1.25,2.0,9.75,-6.0,1
2021-10-27T20:00:00.000Z,Milwaukee Bucks,108,Minnesota Timberwolves,113,31.923333333333336,6.2,13.6,0.41859999999999997,2.0,6.8,0.31100000000000005,2.4,3.0,0.5056,1.6,4.2,5.8,3.4,1.6,0.6,0.8,2.2,16.8,1.2,13.216666666666663,1.3333333333333333,4.5,0.245,0.6666666666666666,2.8333333333333335,0.1555,0.6666666666666666,1.0,0.16666666666666666,0.8333333333333334,1.5,2.3333333333333335,0.8333333333333334,0.3333333333333333,0.0,0.6666666666666666,1.1666666666666667,4.0,-5.166666666666667,34.160000000000004,7.0,14.2,0.5094,1.8,5.8,0.2812,2.6,3.2,0.6599999999999999,1.8,6.0,7.8,3.8,0.6,0.8,3.0,2.6,18.4,2.2,13.826666666666664,1.6,4.0,0.3332,0.8,3.2,0.1332,0.2,0.2,0.2,0.2,1.8,2.0,2.0,0.4,0.0,0.4,1.4,4.2,2.8,0
2022-01-03T22:00:00.000Z,Golden State Warriors,115,Miami Heat,108,31.923333333333336,4.6,10.4,0.4748,0.8,3.8,0.18660000000000002,1.2,1.2,0.4,0.4,5.0,5.4,6.0,1.4,1.2,1.8,2.0,11.2,5.4,11.328571428571427,3.142857142857143,5.714285714285714,0.3722857142857143,1.4285714285714286,2.7142857142857144,0.3032857142857143,0.7142857142857143,1.0,0.2285714285714286,0.7142857142857143,1.5714285714285714,2.2857142857142856,1.2857142857142858,0.5714285714285714,0.0,0.42857142857142855,1.0,8.428571428571429,1.1428571428571428,35.379999999999995,5.6,14.2,0.3938,2.2,6.2,0.3594,2.6,3.0,0.47140000000000004,2.0,6.0,8.0,4.2,1.0,0.4,3.4,2.2,16.0,-3.8,21.01111111111111,3.0,6.333333333333333,0.48500000000000004,2.0,3.6666666666666665,0.389,1.3333333333333333,1.3333333333333333,0.3333333333333333,0.3333333333333333,2.6666666666666665,3.0,1.0,0.0,0.0,0.3333333333333333,0.6666666666666666,9.333333333333334,-5.333333333333333,1
2022-02-10T19:00:00.000Z,Detroit Pistons,107,Memphis Grizzlies,132,29.076666666666664,5.6,11.4,0.49560000000000004,0.8,3.6,0.125,1.6,2.0,0.3048,1.0,4.0,5.0,4.0,0.4,1.2,0.6,3.2,13.6,-15.0,18.706666666666667,2.6,7.4,0.327,0.6,3.4,0.2952,2.0,2.2,0.5666,1.0,2.0,3.0,1.4,0.4,0.2,1.2,2.6,7.8,-10.0,26.23,5.0,10.0,0.5374,1.8,3.4,0.5334,4.4,6.0,0.611,1.6,4.6,6.2,3.4,0.2,0.2,1.8,2.4,16.2,10.6,18.130555555555556,3.1666666666666665,7.0,0.46599999999999997,1.0,2.1666666666666665,0.3333333333333333,1.1666666666666667,2.0,0.18333333333333335,1.6666666666666667,3.1666666666666665,4.833333333333333,2.5,0.8333333333333334,0.5,0.5,1.8333333333333333,8.5,12.0,0
2021-10-26T20:30:00.000Z,San Antonio Spurs,121,Los Angeles Lakers,125,30.093333333333334,5.8,13.8,0.378,0.6,3.4,0.13340000000000002,1.8,3.4,0.265,2.4,5.2,7.6,4.4,0.8,1.2,1.8,2.6,14.0,-12.2,19.147222222222222,3.1666666666666665,6.5,0.34450000000000003,1.6666666666666667,3.1666666666666665,0.21166666666666667,0.5,0.8333333333333334,0.3333333333333333,0.6666666666666666,2.8333333333333335,3.5,1.8333333333333333,1.0,0.0,1.0,1.5,8.5,6.833333333333333,33.55,8.2,16.6,0.5046,1.2,4.2,0.1966,1.8,2.8,0.4666,1.8,6.2,8.0,3.2,1.2,1.4,1.2,2.6,19.4,9.0,24.4,2.25,5.5,0.54675,0.5,2.25,0.125,2.0,2.0,0.75,0.0,4.0,4.0,1.0,0.5,0.75,1.75,2.0,7.0,-6.25,0
2021-11-19T19:30:00.000Z,Boston Celtics,130,Los Angeles Lakers,108,31.72,7.4,13.2,0.5638,1.6,4.2,0.372,4.2,5.2,0.6599999999999999,1.8,4.6,6.4,4.0,1.0,0.4,1.4,2.8,20.6,6.4,13.386111111111111,1.1666666666666667,3.6666666666666665,0.18683333333333332,0.5,1.5,0.3055,1.6666666666666667,2.0,0.6111666666666666,0.5,2.6666666666666665,3.1666666666666665,0.3333333333333333,0.3333333333333333,0.0,0.8333333333333334,1.0,4.5,13.0,30.70333333333333,5.8,12.0,0.4162,1.2,3.4,0.3358,2.0,3.2,0.4056,0.6,3.8,4.4,2.6,0.8,0.6,2.0,3.0,14.8,-9.8,14.063888888888888,1.6666666666666667,4.0,0.4048333333333334,1.0,2.1666666666666665,0.375,1.3333333333333333,1.3333333333333333,0.6666666666666666,0.6666666666666666,1.1666666666666667,1.8333333333333333,1.1666666666666667,0.16666666666666666,0.5,0.3333333333333333,2.3333333333333335,5.666666666666667,-10.166666666666666,1
2022-02-02T19:30:00.000Z,Boston Celtics,113,Charlotte Hornets,107,34.56666666666666,5.4,11.0,0.5194,1.0,4.2,0.1752,2.6,2.8,0.5,1.0,6.2,7.2,5.0,1.2,0.8,3.0,2.4,14.4,3.6,22.366666666666664,5.0,9.0,0.5376666666666666,3.0,5.0,0.4166666666666667,0.6666666666666666,1.0,0.5,0.3333333333333333,1.6666666666666667,2.0,2.0,1.0,0.3333333333333333,1.0,3.0,13.666666666666666,4.0,36.39666666666666,6.4,14.0,0.43,2.2,6.2,0.2354,2.6,3.8,0.3538,2.6,5.0,7.6,3.2,1.6,0.2,2.6,2.8,17.6,-4.2,18.977777777777778,1.6666666666666667,5.666666666666667,0.21666666666666667,0.3333333333333333,3.0,0.04766666666666666,2.6666666666666665,2.6666666666666665,0.3333333333333333,0.3333333333333333,2.3333333333333335,2.6666666666666665,0.6666666666666666,1.3333333333333333,1.0,1.0,2.0,6.333333333333333,-3.0,1
2022-03-04T20:00:00.000Z,New Orleans Pelicans,124,Utah Jazz,90,25.416666666666664,5.2,9.6,0.4654,0.6,2.6,0.1332,1.8,2.2,0.43339999999999995,1.0,4.2,5.2,3.2,1.0,0.6,1.8,2.4,12.8,21.2,12.199999999999998,2.6666666666666665,5.444444444444445,0.4707777777777778,0.8888888888888888,2.5555555555555554,0.2758888888888889,0.4444444444444444,0.6666666666666666,0.1388888888888889,1.1111111111111112,1.7777777777777777,2.888888888888889,1.4444444444444444,0.6666666666666666,0.2222222222222222,0.1111111111111111,1.2222222222222223,6.666666666666667,7.111111111111111,25.823333333333334,2.6,9.0,0.3988,1.2,5.0,0.188,1.0,2.0,0.3666,1.6,3.0,4.6,1.2,1.0,0.2,2.2,1.2,7.4,-20.2,11.081666666666663,1.8,4.4,0.3792,0.5,1.6,0.21000000000000002,1.2,1.6,0.55,1.4,1.5,2.9,0.9,0.2,0.1,0.9,0.8,5.3,-6.9,1
2022-04-02T13:00:00.000Z,New York Knicks,101,Cleveland Cavaliers,119,29.686666666666667,4.0,9.8,0.531,1.6,3.4,0.3566,4.2,5.0,0.85,0.4,2.8,3.2,2.0,0.8,0.6,1.4,2.8,13.8,-17.4,22.62083333333333,2.75,7.0,0.5765,1.25,3.25,0.3,1.25,2.25,0.3125,1.0,3.75,4.75,2.25,0.5,0.25,0.75,1.25,8.0,-0.75,31.72,6.4,11.2,0.6326,2.0,3.8,0.49700000000000005,2.2,2.8,0.6166,1.2,4.8,6.0,4.4,0.4,0.2,1.4,3.0,17.0,13.2,13.555555555555555,2.0,4.166666666666667,0.32216666666666666,0.8333333333333334,2.5,0.127,0.8333333333333334,1.1666666666666667,0.21666666666666667,0.16666666666666666,2.0,2.1666666666666665,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,1.5,5.666666666666667,4.0,0
2022-02-28T19:30:00.000Z,Brooklyn Nets,97,Toronto Raptors,133,20.333333333333332,2.4,7.0,0.335,1.2,3.2,0.33340000000000003,1.2,1.4,0.5,2.0,2.0,4.0,2.4,0.4,0.6,2.0,1.8,7.2,-11.8,17.28333333333333,2.625,6.375,0.42599999999999993,0.75,2.375,0.281125,1.625,2.125,0.40625,0.5,2.625,3.125,1.375,0.25,0.25,1.5,1.375,7.625,-15.125,27.45,4.8,10.0,0.3872,1.2,3.2,0.4,2.4,3.2,0.5928,2.4,2.4,4.8,4.0,3.0,0.6,1.6,1.8,13.2,24.6,12.581250000000002,3.375,6.125,0.54425,1.5,2.75,0.45,0.125,0.75,0.041625,0.5,2.375,2.875,1.875,0.25,0.25,0.5,1.375,8.375,7.125,0
