date,home_team,home_score,away_team,away_score,Starter_MP_Home,Starter_FG_Home,Starter_FGA_Home,Starter_FG_PCT_Home,Starter_FG3_Home,Starter_FG3A_Home,Starter_FG3_PCT_Home,Starter_FT_Home,Starter_FTA_Home,Starter_FT_PCT_Home,Starter_ORB_Home,Starter_DRB_Home,Starter_TRB_Home,Starter_AST_Home,Starter_STL_Home,Starter_BLK_Home,Starter_TOV_Home,Starter_PF_Home,Starter_PTS_Home,Starter_PLUS_MINUS_Home,Reserve_MP_Home,Reserve_FG_Home,Reserve_FGA_Home,Reserve_FG_PCT_Home,Reserve_FG3_Home,Reserve_FG3A_Home,Reserve_FG3_PCT_Home,Reserve_FT_Home,Reserve_FTA_Home,Reserve_FT_PCT_Home,Reserve_ORB_Home,Reserve_DRB_Home,Reserve_TRB_Home,Reserve_AST_Home,Reserve_STL_Home,Reserve_BLK_Home,Reserve_TOV_Home,Reserve_PF_Home,Reserve_PTS_Home,Reserve_PLUS_MINUS_Home,Starter_MP_Away,Starter_FG_Away,Starter_FGA_Away,Starter_FG_PCT_Away,Starter_FG3_Away,Starter_FG3A_Away,Starter_FG3_PCT_Away,Starter_FT_Away,Starter_FTA_Away,Starter_FT_PCT_Away,Starter_ORB_Away,Starter_DRB_Away,Starter_TRB_Away,Starter_AST_Away,Starter_STL_Away,Starter_BLK_Away,Starter_TOV_Away,Starter_PF_Away,Starter_PTS_Away,Starter_PLUS_MINUS_Away,Reserve_MP_Away,Reserve_FG_Away,Reserve_FGA_Away,Reserve_FG_PCT_Away,Reserve_FG3_Away,Reserve_FG3A_Away,Reserve_FG3_PCT_Away,Reserve_FT_Away,Reserve_FTA_Away,Reserve_FT_PCT_Away,Reserve_ORB_Away,Reserve_DRB_Away,Reserve_TRB_Away,Reserve_AST_Away,Reserve_STL_Away,Reserve_BLK_Away,Reserve_TOV_Away,Reserve_PF_Away,Reserve_PTS_Away,Reserve_PLUS_MINUS_Away,game_result
2021-01-02T19:00:00.000Z,Orlando Magic,99,Oklahoma City Thunder,108,31.516666666666662,5.6,14.8,0.3392,1.2,5.0,0.1976,0.8,1.2,0.43339999999999995,1.4,6.0,7.4,3.4,0.6,0.0,1.0,2.2,13.2,-6.2,20.333333333333332,3.0,8.5,0.268,1.0,3.25,0.111,1.25,1.5,0.45,2.0,2.5,4.5,1.0,1.0,0.25,0.25,1.75,8.25,-3.5,30.5,5.2,11.6,0.45599999999999996,2.0,6.2,0.33740000000000003,2.4,2.6,0.76,0.2,5.4,5.6,3.6,0.6,0.8,0.8,1.8,14.8,0.4,17.28333333333333,2.4,5.6,0.3206,0.6,2.0,0.3166,1.4,1.6,0.7,1.0,3.8,4.8,0.8,0.4,0.2,1.2,1.6,6.8,8.6,0
2021-03-31T19:30:00.000Z,Boston Celtics,108,Dallas Mavericks,113,32.736666666666665,6.4,15.2,0.3962,1.8,7.2,0.19939999999999997,3.4,4.0,0.6666000000000001,1.4,4.0,5.4,3.8,2.0,0.2,1.8,2.4,18.0,-5.0,14.843333333333334,1.4,3.6,0.27999999999999997,0.4,2.2,0.1,0.4,0.6,0.2,0.2,1.6,1.8,0.2,0.2,0.2,0.0,1.4,3.6,0.0,34.36333333333334,5.0,10.2,0.4474,3.0,5.8,0.4664,2.8,4.2,0.41059999999999997,0.8,6.0,6.8,2.6,1.0,0.8,3.0,2.6,15.8,5.2,13.419999999999998,2.6,5.2,0.3866,0.8,2.0,0.5334,0.8,0.8,0.2,0.0,1.8,1.8,1.4,0.2,0.0,0.2,1.0,6.8,-0.2,0
2021-04-21T20:30:00.000Z,San Antonio Spurs,87,Miami Heat,107,29.279999999999994,4.2,10.0,0.508,1.4,4.2,0.225,1.4,2.0,0.55,0.8,5.2,6.0,3.4,0.2,1.0,1.8,1.8,11.2,-11.6,10.279629629629628,1.1111111111111112,3.0,0.32833333333333337,0.3333333333333333,1.5555555555555556,0.07400000000000001,0.8888888888888888,1.1111111111111112,0.4444444444444444,0.3333333333333333,0.5555555555555556,0.8888888888888888,0.4444444444444444,0.0,0.2222222222222222,0.1111111111111111,0.6666666666666666,3.4444444444444446,-4.666666666666667,31.313333333333333,4.6,9.8,0.4346,0.8,3.4,0.1472,2.6,2.8,0.375,0.6,4.6,5.2,4.0,1.2,0.2,1.0,1.8,12.6,12.0,11.473809523809523,2.2857142857142856,4.857142857142857,0.3938571428571428,1.2857142857142858,2.0,0.40471428571428575,0.42857142857142855,0.8571428571428571,0.21428571428571427,0.8571428571428571,1.7142857142857142,2.5714285714285716,1.1428571428571428,0.2857142857142857,0.0,0.2857142857142857,1.5714285714285714,6.285714285714286,5.714285714285714,0
2021-05-24T19:30:00.000Z,Milwaukee Bucks,132,Miami Heat,98,26.23,5.0,10.4,0.485,1.2,4.6,0.312,3.0,3.4,0.5214000000000001,2.6,4.4,7.0,5.6,1.4,0.4,2.4,2.6,14.2,22.0,11.52222222222222,2.3333333333333335,4.666666666666667,0.3765555555555556,1.7777777777777777,3.3333333333333335,0.3581111111111111,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.8888888888888888,2.0,2.888888888888889,0.6666666666666666,0.1111111111111111,0.3333333333333333,0.3333333333333333,1.3333333333333333,6.777777777777778,6.666666666666667,25.416666666666664,3.0,8.8,0.29480000000000006,0.6,2.8,0.1066,2.4,3.6,0.3934,0.6,2.2,2.8,2.2,0.8,0.0,1.2,1.4,9.0,-24.2,12.087037037037033,2.0,4.222222222222222,0.45355555555555566,0.5555555555555556,1.5555555555555556,0.28144444444444444,1.3333333333333333,1.8888888888888888,0.4027777777777778,0.6666666666666666,1.7777777777777777,2.4444444444444446,1.0,0.2222222222222222,0.2222222222222222,0.5555555555555556,0.6666666666666666,5.888888888888889,-5.444444444444445,1
2021-01-02T19:00:00.000Z,Philadelphia 76ers,127,Charlotte Hornets,112,33.95666666666666,6.8,10.4,0.6487999999999999,2.2,4.2,0.41419999999999996,2.6,3.6,0.7868,1.0,6.4,7.4,6.2,1.4,1.2,3.4,2.2,18.4,13.8,17.283333333333335,3.25,6.75,0.447,1.25,3.5,0.28125,1.0,1.5,0.3125,0.5,1.5,2.0,1.0,0.75,0.25,1.0,1.5,8.75,1.5,30.70333333333333,5.0,11.6,0.3826,2.2,4.6,0.36060000000000003,3.4,3.6,0.95,1.6,3.4,5.0,5.0,1.8,0.2,1.2,2.0,15.6,-12.6,21.604166666666668,3.25,8.5,0.40650000000000003,0.5,3.0,0.14575,1.5,2.0,0.41675,1.5,2.25,3.75,2.25,1.5,1.0,1.5,2.0,8.5,-3.0,1
2021-01-13T22:00:00.000Z,Los Angeles Clippers,111,New Orleans Pelicans,106,33.55,5.4,11.4,0.4746,2.8,5.8,0.4828,3.6,4.2,0.6532,0.4,4.2,4.6,4.6,0.8,1.0,1.6,2.2,17.2,1.4,17.791666666666664,2.0,4.25,0.5105,1.0,2.0,0.29175,1.25,1.5,0.4375,0.25,3.0,3.25,0.75,0.0,0.25,0.5,1.25,6.25,4.5,31.72,6.4,12.2,0.4526,1.0,2.8,0.125,1.6,2.4,0.4,1.2,4.4,5.6,2.4,0.4,0.6,1.4,2.6,15.4,-4.4,20.5875,2.5,6.75,0.36174999999999996,1.25,3.5,0.30075,1.0,1.0,0.5,1.5,3.5,5.0,1.5,0.5,0.25,0.5,1.5,7.25,-0.75,1
2021-02-21T19:00:00.000Z,Toronto Raptors,110,Philadelphia 76ers,103,30.906666666666666,5.2,10.8,0.5702,1.4,3.6,0.2166,3.2,3.6,0.6933999999999999,0.8,4.0,4.8,4.2,0.4,0.4,2.6,3.2,15.0,-6.6,16.876666666666665,2.8,5.4,0.4138,1.4,3.2,0.2332,0.0,0.0,0.0,0.2,2.8,3.0,0.8,0.6,0.6,0.2,1.6,7.0,13.6,34.36333333333333,5.6,13.2,0.46080000000000004,1.4,5.0,0.246,4.8,6.4,0.41419999999999996,1.4,5.6,7.0,4.2,1.6,1.2,1.6,3.2,17.4,5.2,13.623333333333331,1.0,3.8,0.2212,0.8,2.4,0.18580000000000002,0.4,0.6,0.13340000000000002,0.8,1.2,2.0,1.0,0.0,0.2,0.4,1.0,3.2,-12.2,1
2021-03-15T19:00:00.000Z,Washington Wizards,122,Milwaukee Bucks,133,30.906666666666666,6.4,12.8,0.421,2.4,5.0,0.3696,3.0,4.0,0.5833999999999999,0.4,4.0,4.4,5.8,0.6,0.2,2.0,2.2,18.2,-13.2,16.673333333333332,2.4,4.6,0.49779999999999996,0.8,2.6,0.16999999999999998,0.6,0.8,0.3,0.0,2.2,2.2,1.0,0.4,0.0,0.8,1.4,6.2,2.2,33.75333333333333,8.0,15.0,0.5524,1.4,4.2,0.31579999999999997,3.2,3.2,0.8,1.6,6.4,8.0,5.0,1.2,1.0,2.2,2.6,20.6,15.2,17.791666666666668,3.0,4.75,0.60425,1.0,1.75,0.45825,0.5,0.75,0.16675,0.25,1.25,1.5,1.0,0.0,0.0,1.25,1.75,7.5,-5.25,0
2021-01-25T19:00:00.000Z,Orlando Magic,117,Charlotte Hornets,108,29.076666666666664,5.8,11.8,0.3956,3.0,5.0,0.4992,1.4,3.0,0.34659999999999996,0.8,6.0,6.8,5.2,0.8,0.4,2.4,3.2,16.0,8.0,23.383333333333336,3.25,7.25,0.48,1.0,3.0,0.275,1.75,1.75,0.75,1.5,2.25,3.75,1.25,1.5,0.25,0.75,1.25,9.25,1.25,31.923333333333336,5.8,12.4,0.42300000000000004,2.2,5.0,0.32,1.8,2.8,0.4166,1.4,3.2,4.6,2.8,0.8,0.6,2.2,2.4,15.6,-10.2,20.333333333333336,2.5,6.75,0.35775,0.0,3.25,0.0,2.5,3.25,0.552,1.0,3.5,4.5,2.0,0.25,0.75,0.75,2.0,7.5,1.5,1
2021-03-19T20:00:00.000Z,Houston Rockets,100,Detroit Pistons,113,31.923333333333336,6.2,13.2,0.48460000000000003,1.4,5.0,0.2644,2.2,2.8,0.725,0.4,4.4,4.8,3.6,1.2,0.6,2.4,2.2,16.0,-9.8,13.216666666666663,1.3333333333333333,3.6666666666666665,0.2555,0.3333333333333333,1.1666666666666667,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.8333333333333334,1.5,2.3333333333333335,0.5,0.16666666666666666,0.16666666666666666,0.16666666666666666,1.0,3.3333333333333335,-2.6666666666666665,27.65333333333333,4.2,11.2,0.40099999999999997,2.0,4.4,0.3302,4.2,4.8,0.86,1.4,5.0,6.4,2.8,1.0,0.4,1.0,1.2,14.6,12.0,14.523809523809522,2.2857142857142856,4.142857142857143,0.39285714285714285,0.5714285714285714,1.0,0.40471428571428575,0.5714285714285714,0.5714285714285714,0.2857142857142857,0.7142857142857143,1.7142857142857142,2.4285714285714284,2.0,0.2857142857142857,0.2857142857142857,1.1428571428571428,1.5714285714285714,5.714285714285714,0.7142857142857143,0
