Unnamed: 0,Date,Home,Away,OU,Spread,ML_Home,ML_Away,Points,Win_Margin,Days_Rest_Home,Days_Rest_Away,Home_Prob,Away_Prob,Home_Odds,Away_Odds,weekday,home_score,away_score,attendance,overtime,remarks
0,10-24,Philadelphia 76ers,Indiana Pacers,228.5,12.5,-950,640,226,14,7,7,0.1052631578947368,0.15625,9.5,6.4,Monday,120,106,19156,,
0,10-24,Miami Heat,Toronto Raptors,216.5,3.5,-174,136,188,-8,7,7,0.5747126436781609,0.7352941176470588,1.7400000000000002,1.36,Monday,90,98,19156,,
0,10-24,New York Knicks,Orlando Magic,223.0,7.5,-300,245,217,13,7,7,0.3333333333333333,0.4081632653061224,3.0,2.45,Monday,115,102,19156,,
0,10-24,Houston Rockets,Utah Jazz,234.0,-2.5,120,-142,222,6,7,7,0.8333333333333334,0.7042253521126761,1.2,1.42,Monday,114,108,19156,,
0,10-24,Memphis Grizzlies,Brooklyn Nets,235.5,1.5,-112,-104,258,10,7,7,0.8928571428571428,0.9615384615384616,1.12,1.04,Monday,134,124,19156,,
0,10-24,Minnesota Timberwolves,San Antonio Spurs,233.5,7.5,-350,255,221,-9,7,7,0.2857142857142857,0.3921568627450981,3.5,2.55,Monday,106,115,19156,,
0,10-24,Chicago Bulls,Boston Celtics,223.5,-10.5,400,-620,222,18,7,7,0.25,0.1612903225806451,4.0,6.2,Monday,120,102,19156,,
0,10-24,Portland Trail Blazers,Denver Nuggets,223.5,-4.5,152,-196,245,25,7,7,0.6578947368421053,0.5102040816326531,1.5199999999999998,1.96,Monday,135,110,19156,,
0,10-25,Washington Wizards,Detroit Pistons,215.5,4.5,-205,158,219,21,7,7,0.4878048780487805,0.6329113924050632,2.05,1.58,Tuesday,120,99,19156,,
0,10-25,New Orleans Pelicans,Dallas Mavericks,225.5,-2.5,120,-154,224,2,7,7,0.8333333333333334,0.6493506493506493,1.2,1.54,Tuesday,113,111,19156,,
0,10-25,Oklahoma City Thunder,Los Angeles Clippers,217.5,-5.5,184,-220,202,14,7,7,0.5434782608695652,0.4545454545454545,1.84,2.2,Tuesday,108,94,19156,,
0,10-25,Phoenix Suns,Golden State Warriors,227.0,1.5,-118,100,239,29,7,7,0.8474576271186441,1.0,1.18,1.0,Tuesday,134,105,19156,,
0,10-26,Cleveland Cavaliers,Orlando Magic,216.5,8.5,-430,300,195,11,7,2,0.2325581395348837,0.3333333333333333,4.3,3.0,Wednesday,103,92,19156,,
0,10-26,Detroit Pistons,Atlanta Hawks,236.5,-7.5,265,-370,231,-5,1,7,0.3773584905660377,0.2702702702702702,2.65,3.7000000000000006,Wednesday,113,118,19156,,
0,10-26,Milwaukee Bucks,Brooklyn Nets,225.5,3.5,-178,138,209,11,7,2,0.5617977528089888,0.7246376811594204,1.7799999999999998,1.38,Wednesday,110,99,19156,,
0,10-26,New York Knicks,Charlotte Hornets,224.0,7.5,-300,245,265,3,2,7,0.3333333333333333,0.4081632653061224,3.0,2.45,Wednesday,134,131,19156,OT,
