Unnamed: 0,Date,Home,Away,OU,Spread,ML_Home,ML_Away,Points,Win_Margin,Days_Rest_Home,Days_Rest_Away,Home_Prob,Away_Prob,Home_Odds,Away_Odds,weekday,home_score,away_score,attendance,overtime,remarks
0,10-28,Detroit Pistons,Chicago Bulls,213.5,-2.5,120,-142,220,16,1,1,0.8333333333333334,0.7042253521126761,1.2,1.42,Saturday,118.0,102.0,19842.0,,
0,10-28,Washington Wizards,Memphis Grizzlies,230.0,-1.0,-102,-116,219,7,3,1,0.9803921568627452,0.8620689655172414,1.02,1.16,Saturday,113.0,106.0,19842.0,,
0,10-28,Cleveland Cavaliers,Indiana Pacers,221.0,-4.0,150,-178,238,-12,1,3,0.6666666666666666,0.5617977528089888,1.5,1.7799999999999998,Saturday,113.0,125.0,19842.0,,
0,10-28,Toronto Raptors,Philadelphia 76ers,214.5,-5.0,164,-198,221,-7,1,2,0.6097560975609756,0.5050505050505051,1.64,1.98,Saturday,107.0,114.0,19842.0,,
0,10-28,Minnesota Timberwolves,Miami Heat,214.5,8.5,-410,290,196,16,3,1,0.2439024390243902,0.3448275862068966,4.1,2.9,Saturday,106.0,90.0,19842.0,,
0,10-28,Phoenix Suns,Utah Jazz,223.0,5.5,-210,176,230,22,2,1,0.4761904761904761,0.5681818181818182,2.1,1.7599999999999998,Saturday,126.0,104.0,19842.0,,
0,10-29,Oklahoma City Thunder,Denver Nuggets,231.0,-4.0,138,-164,223,-33,2,2,0.7246376811594204,0.6097560975609756,1.38,1.64,Sunday,95.0,128.0,19842.0,,
0,10-29,Houston Rockets,Golden State Warriors,223.0,-7.0,220,-270,201,-11,2,2,0.4545454545454545,0.3703703703703703,2.2,2.7,Sunday,95.0,106.0,19842.0,,
0,10-29,Milwaukee Bucks,Atlanta Hawks,239.5,6.0,-255,210,237,-17,3,2,0.3921568627450981,0.4761904761904761,2.55,2.1,Sunday,110.0,127.0,19842.0,,
0,10-29,Philadelphia 76ers,Portland Trail Blazers,217.0,10.0,-450,350,224,28,1,2,0.2222222222222222,0.2857142857142857,4.5,3.5,Sunday,126.0,98.0,19842.0,,
0,10-29,Sacramento Kings,Los Angeles Lakers,235.5,2.5,-142,120,259,5,2,3,0.7042253521126761,0.8333333333333334,1.42,1.2,Sunday,132.0,127.0,19842.0,OT,
0,10-29,Los Angeles Clippers,San Antonio Spurs,229.5,9.0,-375,300,206,40,2,2,0.2666666666666666,0.3333333333333333,3.75,3.0,Sunday,123.0,83.0,19842.0,,
0,10-30,Washington Wizards,Boston Celtics,231.5,-10.5,420,-560,233,-19,2,3,0.238095238095238,0.1785714285714285,4.2,5.6,Monday,107.0,126.0,19842.0,,
0,10-30,Charlotte Hornets,Brooklyn Nets,227.5,-2.0,108,-126,254,-12,3,3,0.9259259259259258,0.7936507936507936,1.08,1.26,Monday,121.0,133.0,19842.0,,
0,10-30,Indiana Pacers,Chicago Bulls,230.0,3.5,-162,136,217,-7,2,2,0.6172839506172839,0.7352941176470588,1.62,1.36,Monday,105.0,112.0,19842.0,,
0,10-30,Atlanta Hawks,Minnesota Timberwolves,228.0,-2.0,118,-136,240,14,1,2,0.8474576271186441,0.7352941176470588,1.18,1.36,Monday,127.0,113.0,19842.0,,
