date,team,Starter_MP,Starter_FG,Starter_FGA,Starter_FG_PCT,Starter_FG3,Starter_FG3A,Starter_FG3_PCT,Starter_FT,Starter_FTA,Starter_FT_PCT,Starter_ORB,Starter_DRB,Starter_TRB,Starter_AST,Starter_STL,Starter_BLK,Starter_TOV,Starter_PF,Starter_PTS,Starter_PLUS_MINUS
2018-10-18T20:00:00,Chicago Bulls,26.839999999999996,5.4,12.0,0.36900000000000005,1.4,4.6,0.2016,1.4,1.8,0.2714,0.6,4.2,4.8,2.8,0.4,1.0,1.4,3.2,13.6,-15.6
2018-10-18T20:00:00,Miami Heat,31.313333333333333,5.2,13.4,0.4262,2.0,5.2,0.31020000000000003,4.0,5.2,0.8284,2.8,3.8,6.6,3.8,0.6,0.8,1.8,3.8,16.4,-1.6
2018-10-18T20:00:00,Philadelphia 76ers,31.313333333333333,5.8,12.6,0.4726,1.4,4.6,0.20600000000000002,4.6,5.2,0.8714000000000001,1.8,7.0,8.8,4.8,1.4,1.4,2.2,2.0,17.6,17.6
2018-10-18T20:00:00,Washington Wizards,26.433333333333337,4.6,9.8,0.46099999999999997,1.0,3.2,0.22400000000000003,3.6,5.2,0.6734,0.8,3.4,4.2,2.6,1.2,2.2,1.6,3.6,13.8,0.6
2018-10-18T22:30:00,Los Angeles Lakers,29.076666666666664,5.6,10.6,0.5316000000000001,0.4,2.2,0.3,3.0,3.8,0.6278,1.2,4.8,6.0,3.8,1.0,0.8,2.0,2.6,14.6,2.8
2018-10-18T22:30:00,Portland Trail Blazers,24.603333333333335,4.8,13.2,0.32639999999999997,1.2,4.8,0.2072,3.8,4.0,0.75,1.6,4.0,5.6,1.0,1.0,0.2,1.8,2.4,14.6,-7.2
2018-10-19T19:00:00,Charlotte Hornets,24.806666666666665,4.4,9.2,0.46799999999999997,2.0,4.4,0.3166,2.2,2.2,0.6,1.0,4.4,5.4,2.6,1.0,0.2,1.2,0.4,13.0,23.0
2018-10-19T19:00:00,Orlando Magic,21.35,3.0,8.6,0.3266,0.4,3.2,0.0444,0.2,0.2,0.2,1.8,3.4,5.2,1.8,0.6,1.2,2.0,1.6,6.6,-19.4
2018-10-19T19:30:00,Brooklyn Nets,29.889999999999997,5.2,8.8,0.6098,1.6,3.2,0.43,3.2,3.6,0.5317999999999999,1.2,5.0,6.2,3.0,0.4,1.0,2.8,2.4,15.2,1.4
2018-10-19T19:30:00,New York Knicks,30.703333333333337,5.8,13.4,0.35679999999999995,1.2,3.8,0.205,2.2,2.4,0.3714,1.4,2.6,4.0,2.4,1.8,0.0,0.4,1.4,15.0,2.2
2018-10-19T20:00:00,Atlanta Hawks,25.21333333333333,4.8,10.2,0.43499999999999994,2.2,4.8,0.45760000000000006,2.2,3.0,0.5833999999999999,0.6,3.4,4.0,3.2,1.2,0.6,2.2,3.0,14.0,-8.8
2018-10-19T20:00:00,Boston Celtics,30.906666666666666,6.4,14.2,0.4508,2.0,5.0,0.3856,0.8,1.2,0.6,2.0,4.8,6.8,3.8,0.6,0.6,2.2,3.0,15.6,-10.2
2018-10-19T20:00:00,Cleveland Cavaliers,32.940000000000005,5.6,12.4,0.4704,1.4,3.6,0.2,3.0,3.6,0.5,2.0,4.8,6.8,4.2,0.4,0.2,1.8,3.6,15.6,3.8
2018-10-19T20:00:00,Memphis Grizzlies,23.79,5.2,9.0,0.5718,2.2,3.6,0.46319999999999995,2.6,3.2,0.6761999999999999,0.6,3.8,4.4,4.4,0.6,0.2,1.4,2.2,15.2,23.8
2018-10-19T20:00:00,Minnesota Timberwolves,33.55,6.0,12.4,0.4894,0.8,2.2,0.44000000000000006,5.0,5.2,0.95,1.6,4.4,6.0,3.2,1.4,1.2,2.0,2.4,17.8,-2.2
2018-10-19T20:00:00,New Orleans Pelicans,26.433333333333337,7.4,12.4,0.5916,1.4,3.0,0.5112,3.2,4.8,0.4,2.2,4.0,6.2,5.2,1.2,0.8,1.8,1.8,19.4,16.4
2018-10-19T20:00:00,Sacramento Kings,21.96,5.2,9.0,0.5692,0.8,1.8,0.25,2.0,2.4,0.5048,0.8,3.0,3.8,2.6,0.2,0.2,1.6,1.8,13.2,-8.0
2018-10-19T20:00:00,Toronto Raptors,30.703333333333337,6.4,12.2,0.5393999999999999,2.0,4.2,0.41419999999999996,2.2,2.8,0.3,1.4,5.0,6.4,3.2,0.4,0.4,1.4,1.6,17.0,15.2
2018-10-19T20:30:00,Indiana Pacers,27.856666666666666,4.4,10.6,0.42379999999999995,0.2,1.6,0.1,2.2,3.0,0.7834,0.4,3.0,3.4,0.8,0.4,0.4,2.0,2.6,11.2,-16.6
2018-10-19T20:30:00,Milwaukee Bucks,27.65333333333333,6.6,13.2,0.5024000000000001,2.2,6.4,0.3412,1.4,2.0,0.4668,1.6,4.8,6.4,5.0,1.4,0.8,2.2,2.8,16.8,17.4
2018-10-19T22:30:00,Golden State Warriors,32.94,7.8,14.6,0.5426,1.4,3.0,0.3778,2.8,3.2,0.5,1.0,5.0,6.0,4.6,1.2,1.2,2.6,3.2,19.8,-0.8
2018-10-19T22:30:00,Los Angeles Clippers,27.45,4.8,11.4,0.357,1.6,4.0,0.3238,2.0,3.2,0.43339999999999995,1.8,5.0,6.8,2.6,0.4,0.2,1.0,2.2,13.2,6.6
2018-10-19T22:30:00,Oklahoma City Thunder,27.856666666666666,4.0,12.6,0.3572,1.0,4.4,0.188,1.8,2.2,0.6,1.6,4.4,6.0,2.4,0.6,0.2,1.2,3.4,10.8,-13.4
2018-10-19T22:30:00,Utah Jazz,31.51666666666667,5.6,12.2,0.491,2.8,6.2,0.2796,2.0,3.0,0.3454,1.4,3.6,5.0,3.8,1.8,0.4,2.4,2.6,16.0,1.8
2018-10-20T19:00:00,Brooklyn Nets,26.636666666666667,4.8,9.2,0.5302,2.0,3.6,0.4466,0.6,1.4,0.2334,0.4,3.0,3.4,3.4,0.4,0.8,2.4,1.8,12.2,-14.4
2018-10-20T19:00:00,Indiana Pacers,26.839999999999996,5.8,10.4,0.5753999999999999,1.8,2.8,0.6,2.0,3.2,0.5332000000000001,0.8,3.4,4.2,2.0,1.6,0.2,0.8,1.4,15.4,12.8
2018-10-20T19:00:00,Toronto Raptors,27.24666666666667,4.8,10.6,0.4624,1.6,4.6,0.31379999999999997,2.4,2.6,0.5714,1.0,3.4,4.4,2.8,0.6,0.6,1.8,3.2,13.6,5.4
2018-10-20T19:00:00,Washington Wizards,28.669999999999998,5.2,11.0,0.39059999999999995,1.8,4.8,0.2662,3.8,5.0,0.7692,1.2,3.0,4.2,3.2,1.8,1.2,1.4,3.4,16.0,4.8
2018-10-20T19:30:00,Boston Celtics,28.263333333333332,4.2,10.4,0.4194,1.0,2.6,0.3668,3.6,4.2,0.7714000000000001,1.6,5.4,7.0,2.0,1.2,0.2,2.0,2.6,13.0,4.6
2018-10-20T19:30:00,New York Knicks,27.043333333333333,4.8,11.8,0.37340000000000007,1.6,5.0,0.2976,1.4,2.0,0.4166,1.2,4.0,5.2,3.0,1.2,0.2,2.4,3.4,12.6,-7.0
2018-10-20T19:30:00,Orlando Magic,33.14333333333333,6.8,13.0,0.4866,2.4,4.0,0.4534000000000001,3.0,4.0,0.7333999999999999,2.0,5.6,7.6,5.4,1.2,0.8,2.0,1.6,19.0,15.0
2018-10-20T19:30:00,Philadelphia 76ers,27.856666666666666,5.4,11.8,0.48699999999999993,1.8,3.4,0.3258,1.2,1.4,0.55,1.8,3.6,5.4,4.0,0.8,0.4,1.0,3.0,13.8,-7.8
2018-10-20T20:00:00,Charlotte Hornets,33.14333333333333,6.0,14.0,0.43979999999999997,2.6,6.6,0.2972,2.0,2.8,0.8141999999999999,1.4,4.2,5.6,3.6,1.0,1.0,1.4,3.6,16.6,6.2
2018-10-20T20:00:00,Chicago Bulls,29.889999999999997,6.0,11.8,0.531,0.8,3.2,0.2,3.8,4.6,0.6556,0.6,5.0,5.6,3.0,0.6,0.4,1.4,2.6,16.6,0.8
2018-10-20T20:00:00,Detroit Pistons,29.076666666666664,6.0,14.2,0.4088,2.4,5.4,0.36419999999999997,3.0,3.4,0.5334,2.4,4.4,6.8,2.4,0.2,0.8,1.2,3.2,17.4,0.4
2018-10-20T20:00:00,Miami Heat,32.33,5.0,11.6,0.4412,1.6,4.6,0.2734,2.2,3.4,0.485,1.4,5.8,7.2,2.6,0.6,1.0,2.0,3.0,13.8,3.4
2018-10-20T20:30:00,Dallas Mavericks,32.126666666666665,6.6,13.2,0.5194,2.2,6.2,0.275,3.4,4.8,0.5314,2.2,3.8,6.0,3.0,1.0,1.2,2.4,3.8,18.8,4.4
2018-10-20T20:30:00,Minnesota Timberwolves,31.110000000000003,5.2,10.0,0.5229999999999999,1.8,3.2,0.43339999999999995,5.2,6.0,0.8356,0.6,3.6,4.2,3.2,1.2,0.4,2.2,4.0,17.4,-0.4
2018-10-20T21:00:00,Denver Nuggets,31.110000000000003,7.6,12.6,0.6268,1.8,3.8,0.43579999999999997,4.4,4.8,0.7318,0.8,6.0,6.8,5.2,2.0,1.0,1.6,2.6,21.4,32.6
2018-10-20T21:00:00,Phoenix Suns,28.060000000000002,3.4,9.6,0.3606,1.4,5.0,0.23679999999999998,3.4,4.4,0.3982,1.0,2.6,3.6,2.6,0.4,0.2,2.6,2.8,11.6,-16.8
2018-10-20T22:00:00,Portland Trail Blazers,25.823333333333334,5.8,10.2,0.56,1.8,3.6,0.3476,2.6,3.0,0.6334,1.0,3.8,4.8,2.8,0.2,0.6,0.8,1.2,16.0,10.6
2018-10-20T22:00:00,San Antonio Spurs,27.653333333333336,5.6,12.2,0.3618,1.4,2.8,0.225,1.2,1.4,0.2,1.6,2.8,4.4,4.0,0.6,0.2,0.8,2.0,13.8,-13.2
2018-10-20T22:30:00,Houston Rockets,31.72,6.4,13.0,0.4474,2.4,5.4,0.3466,3.8,5.4,0.3688,2.0,6.0,8.0,4.0,1.0,0.4,2.6,3.0,19.0,-0.4
2018-10-20T22:30:00,Los Angeles Lakers,26.839999999999996,5.8,11.4,0.534,0.4,2.6,0.1286,2.0,2.8,0.5761999999999999,1.0,4.0,5.0,3.6,1.0,1.4,1.6,2.2,14.0,0.8
2018-10-21T18:00:00,Atlanta Hawks,28.059999999999995,6.6,13.4,0.4664,2.4,6.2,0.31920000000000004,2.6,2.6,0.8,0.8,4.0,4.8,4.4,1.0,1.2,1.4,1.8,18.2,10.6
2018-10-21T18:00:00,Cleveland Cavaliers,30.906666666666666,5.8,12.2,0.552,1.2,3.8,0.35819999999999996,0.8,1.2,0.25,1.8,4.6,6.4,2.8,0.8,0.4,2.2,2.8,13.6,-6.2
2018-10-21T19:00:00,Oklahoma City Thunder,26.636666666666667,5.6,12.2,0.372,1.0,4.8,0.13340000000000002,3.2,5.2,0.591,2.2,5.0,7.2,2.0,1.4,0.8,2.6,2.6,15.4,-9.8
2018-10-21T19:00:00,Sacramento Kings,29.686666666666667,6.6,10.6,0.6396,1.8,3.4,0.46419999999999995,3.0,3.8,0.6156,1.0,3.8,4.8,4.4,1.6,0.8,2.0,3.4,18.0,9.6
2018-10-21T20:00:00,Denver Nuggets,29.28,4.2,11.0,0.3186,0.6,4.2,0.0944,3.8,6.2,0.48919999999999997,2.0,4.2,6.2,2.4,1.2,0.6,0.6,3.2,12.8,-3.0
2018-10-21T20:00:00,Golden State Warriors,33.346666666666664,5.8,13.4,0.4582,1.4,5.4,0.10840000000000001,2.4,3.4,0.47140000000000004,0.4,5.4,5.8,3.6,0.6,0.6,2.6,3.8,15.4,1.2
2018-10-21T21:00:00,Houston Rockets,33.14333333333333,6.4,13.0,0.49960000000000004,2.4,5.0,0.49160000000000004,1.6,2.4,0.4666,0.8,3.4,4.2,4.6,0.8,0.8,1.0,2.6,16.8,7.8
