date,team,Starter_MP,Starter_FG,Starter_FGA,Starter_FG_PCT,Starter_FG3,Starter_FG3A,Starter_FG3_PCT,Starter_FT,Starter_FTA,Starter_FT_PCT,Starter_ORB,Starter_DRB,Starter_TRB,Starter_AST,Starter_STL,Starter_BLK,Starter_TOV,Starter_PF,Starter_PTS,Starter_PLUS_MINUS
2021-10-19T19:30:00,Brooklyn Nets,27.653333333333336,6.0,12.8,0.45899999999999996,2.0,4.2,0.30579999999999996,1.8,3.0,0.5,0.8,5.8,6.6,2.8,0.4,0.8,1.6,2.0,15.8,-12.2
2021-10-19T19:30:00,Milwaukee Bucks,26.839999999999996,6.2,13.6,0.4596,1.8,5.2,0.36,2.2,2.8,0.5056,1.6,5.0,6.6,3.4,1.2,1.0,1.0,2.0,16.4,17.0
2021-10-19T22:00:00,Golden State Warriors,26.433333333333337,4.6,11.8,0.4364,1.6,4.8,0.2028,2.4,3.2,0.4,1.4,4.8,6.2,4.2,1.4,0.2,2.8,1.8,13.2,-1.8
2021-10-19T22:00:00,Los Angeles Lakers,30.70333333333333,7.2,14.4,0.5566,1.6,5.6,0.181,1.0,2.6,0.1572,0.8,5.4,6.2,2.4,0.6,0.8,1.8,3.2,17.0,-3.0
2021-10-20T19:00:00,Charlotte Hornets,32.736666666666665,6.8,16.0,0.42539999999999994,2.4,5.2,0.35,2.6,3.8,0.725,1.4,5.6,7.0,4.0,1.2,0.4,1.6,3.4,18.6,6.4
2021-10-20T19:00:00,Chicago Bulls,34.160000000000004,6.6,14.0,0.507,1.0,3.2,0.3566,2.6,3.0,0.4,1.6,5.6,7.2,2.8,0.8,0.4,2.4,1.4,16.8,11.0
2021-10-20T19:00:00,Detroit Pistons,27.856666666666666,4.6,11.6,0.3684,0.8,3.0,0.16,1.2,1.4,0.3,1.6,4.4,6.0,1.6,0.2,0.4,1.6,2.6,11.2,-9.4
2021-10-20T19:00:00,Indiana Pacers,32.736666666666665,7.4,14.0,0.5168,3.0,7.0,0.422,3.8,4.4,0.85,1.0,6.6,7.6,3.8,0.2,1.0,2.4,3.4,21.6,0.2
2021-10-20T19:30:00,Boston Celtics,42.49666666666666,7.8,17.6,0.558,3.6,9.0,0.3518,3.2,4.2,0.45999999999999996,1.4,7.2,8.6,4.6,2.0,1.6,2.6,3.2,22.4,4.0
2021-10-20T19:30:00,New York Knicks,41.88666666666667,7.8,15.2,0.5768,3.0,6.4,0.4032,2.8,4.0,0.48339999999999994,1.0,7.8,8.8,4.0,1.0,1.6,2.6,3.8,21.4,6.2
2021-10-20T19:30:00,Toronto Raptors,28.060000000000002,3.8,13.0,0.323,0.8,4.2,0.1666,1.6,2.4,0.6834,2.2,4.2,6.4,2.4,1.2,0.4,2.6,2.4,10.0,-15.2
2021-10-20T19:30:00,Washington Wizards,29.076666666666664,4.0,10.4,0.47239999999999993,0.8,4.0,0.11779999999999999,3.2,3.6,0.6334,0.4,5.4,5.8,2.8,1.6,1.0,2.8,1.6,12.0,12.0
2021-10-20T20:00:00,Cleveland Cavaliers,31.92333333333333,6.8,13.2,0.539,1.6,5.0,0.28379999999999994,1.2,2.0,0.35,0.8,4.0,4.8,4.4,1.0,0.8,1.0,1.8,16.4,-6.2
2021-10-20T20:00:00,Houston Rockets,26.229999999999997,3.8,10.2,0.3872,1.2,4.2,0.2572,1.0,1.6,0.4,1.2,3.6,4.8,2.4,0.4,0.2,2.6,2.4,9.8,-23.6
2021-10-20T20:00:00,Memphis Grizzlies,31.110000000000003,8.0,15.6,0.49559999999999993,2.0,4.8,0.325,2.0,2.0,0.6,2.0,4.6,6.6,3.4,0.6,1.4,1.8,1.2,20.0,4.2
2021-10-20T20:00:00,Minnesota Timberwolves,26.43333333333333,6.2,12.0,0.5302,2.6,5.2,0.35,3.2,3.8,0.7,1.8,3.8,5.6,2.6,2.0,1.4,2.2,2.4,18.2,23.0
2021-10-20T20:00:00,New Orleans Pelicans,28.059999999999995,6.4,14.4,0.5700000000000001,2.0,4.0,0.3666,1.2,1.8,0.5334,1.0,4.4,5.4,3.2,0.4,0.8,1.8,1.6,16.0,-18.0
2021-10-20T20:00:00,Philadelphia 76ers,26.433333333333337,5.6,10.6,0.4683999999999999,1.2,2.4,0.40020000000000006,2.0,2.6,0.4934,0.6,4.8,5.4,2.8,0.4,0.2,0.8,1.6,14.4,10.8
2021-10-20T20:30:00,Orlando Magic,27.856666666666666,4.6,10.6,0.47620000000000007,1.2,4.0,0.41200000000000003,2.2,2.6,0.7,1.4,3.0,4.4,2.4,0.8,1.2,1.8,2.8,12.6,-3.2
2021-10-20T20:30:00,San Antonio Spurs,27.856666666666666,5.6,11.0,0.5438,1.0,2.4,0.2834,1.8,2.8,0.5666,2.0,3.4,5.4,4.0,1.0,0.0,1.2,2.4,14.0,8.8
2021-10-20T21:00:00,Oklahoma City Thunder,28.46666666666666,3.6,11.4,0.2954,0.6,4.0,0.09059999999999999,1.8,2.8,0.38,2.0,5.2,7.2,2.0,0.4,0.2,1.4,1.6,9.6,-18.0
2021-10-20T21:00:00,Utah Jazz,28.059999999999995,5.2,11.8,0.3882,1.4,5.4,0.18380000000000002,1.0,1.4,0.33340000000000003,1.8,5.0,6.8,2.4,1.0,0.6,1.0,1.6,12.8,17.4
2021-10-20T22:00:00,Denver Nuggets,31.923333333333336,7.0,12.0,0.594,2.2,4.8,0.5668,0.4,1.0,0.3,1.0,6.0,7.0,3.8,1.0,0.2,1.8,2.2,16.6,22.4
2021-10-20T22:00:00,Phoenix Suns,30.70333333333333,4.4,11.4,0.3566,1.4,5.0,0.2904,1.8,2.4,0.7,1.2,4.2,5.4,3.6,1.2,0.4,2.0,2.2,12.0,-18.0
2021-10-20T22:00:00,Portland Trail Blazers,34.16,6.8,15.2,0.4364,2.0,6.2,0.4328,3.6,4.0,0.5349999999999999,1.0,6.0,7.0,3.6,0.8,0.8,1.8,3.2,19.2,-2.0
2021-10-20T22:00:00,Sacramento Kings,30.70333333333333,6.2,12.4,0.4736000000000001,2.2,4.8,0.3954,4.0,5.0,0.6512,1.2,4.6,5.8,3.2,1.0,0.8,1.6,2.2,18.6,8.8
2021-10-21T19:30:00,Atlanta Hawks,27.65333333333333,5.6,10.4,0.5932000000000001,1.6,3.2,0.4,1.0,1.2,0.2,0.6,5.4,6.0,4.0,0.8,1.2,1.6,2.2,13.8,17.6
2021-10-21T19:30:00,Dallas Mavericks,28.059999999999995,3.4,11.2,0.2944,1.2,4.8,0.2072,2.4,2.6,0.7333999999999999,1.6,4.4,6.0,2.0,1.2,0.4,2.4,2.6,10.4,-21.2
2021-10-21T20:00:00,Miami Heat,24.4,4.4,9.0,0.4934,1.0,3.4,0.21680000000000002,2.6,3.8,0.4436,1.2,4.8,6.0,3.4,1.0,0.2,1.0,2.6,12.4,27.8
2021-10-21T20:00:00,Milwaukee Bucks,24.60333333333333,3.8,9.8,0.40679999999999994,1.2,4.8,0.25,1.8,2.6,0.52,0.2,4.0,4.2,2.6,1.2,0.0,1.8,2.4,10.6,-20.8
2021-10-21T22:00:00,Golden State Warriors,28.263333333333332,6.4,12.4,0.5586,2.4,5.0,0.2564,2.2,3.6,0.6444,1.6,5.0,6.6,3.2,0.8,0.6,3.2,2.8,17.4,0.8
2021-10-21T22:00:00,Los Angeles Clippers,29.686666666666667,6.6,14.4,0.4716,2.2,5.8,0.28759999999999997,1.8,3.0,0.38659999999999994,0.8,3.8,4.6,3.2,1.6,0.4,1.0,3.2,17.2,-9.6
2021-10-22T19:00:00,Charlotte Hornets,28.46666666666667,6.2,11.4,0.5317999999999999,1.8,4.2,0.26959999999999995,1.4,1.6,0.5,1.2,4.2,5.4,3.6,2.0,0.2,2.8,2.2,15.6,7.2
2021-10-22T19:00:00,Cleveland Cavaliers,31.313333333333333,6.4,11.4,0.579,1.4,3.6,0.2372,2.8,3.2,0.8666,0.8,3.2,4.0,3.4,1.2,0.4,3.0,2.2,17.0,-7.2
2021-10-22T19:00:00,Indiana Pacers,39.446666666666665,9.0,15.4,0.5742,2.6,5.6,0.45280000000000004,2.6,3.6,0.475,1.4,5.0,6.4,4.0,0.8,1.0,2.0,2.6,23.2,-0.4
2021-10-22T19:00:00,New York Knicks,26.636666666666667,4.8,9.8,0.491,1.8,5.0,0.2754,1.2,2.0,0.3266,1.0,4.6,5.6,2.8,1.2,0.4,2.0,2.4,12.6,10.8
2021-10-22T19:00:00,Orlando Magic,32.126666666666665,4.4,11.8,0.4090000000000001,2.0,5.4,0.3872,2.2,2.4,0.55,1.4,5.4,6.8,3.8,1.0,0.6,2.2,2.0,13.0,-10.4
2021-10-22T19:00:00,Washington Wizards,30.296666666666663,6.2,11.2,0.5526,2.8,4.8,0.425,1.2,1.4,0.7,1.2,3.4,4.6,3.2,0.2,0.8,1.0,2.4,16.4,-3.6
2021-10-22T19:30:00,Boston Celtics,28.263333333333332,4.0,10.4,0.358,0.4,3.6,0.1,1.0,1.4,0.55,0.8,4.6,5.4,2.2,0.6,2.2,3.0,1.8,9.4,-6.2
2021-10-22T19:30:00,Brooklyn Nets,28.873333333333335,4.6,12.2,0.3272,1.4,5.6,0.17919999999999997,3.4,4.2,0.6834,1.2,5.4,6.6,4.4,1.0,0.6,2.4,1.0,14.0,-3.8
2021-10-22T19:30:00,Philadelphia 76ers,32.126666666666665,6.8,14.0,0.479,2.4,4.8,0.5366000000000001,1.2,1.6,0.2666,0.4,4.0,4.4,2.0,1.0,1.2,0.8,2.8,17.2,-6.8
2021-10-22T19:30:00,Toronto Raptors,32.33,6.2,14.0,0.4364,1.2,4.0,0.3466,3.4,3.4,1.0,2.8,5.0,7.8,3.0,1.8,0.2,1.2,1.6,17.0,20.4
2021-10-22T20:00:00,Chicago Bulls,30.90666666666666,6.6,13.2,0.5076,2.4,5.0,0.4584,3.0,3.6,0.6378,1.4,4.6,6.0,4.8,1.6,0.8,2.2,2.0,18.6,8.2
2021-10-22T20:00:00,Houston Rockets,27.45,6.2,11.4,0.5306000000000001,2.2,4.4,0.4734,0.8,1.0,0.5,1.4,6.0,7.4,3.6,1.2,1.2,1.4,2.2,15.4,20.8
