date,team,Reserve_MP,Reserve_FG,Reserve_FGA,Reserve_FG_PCT,Reserve_FG3,Reserve_FG3A,Reserve_FG3_PCT,Reserve_FT,Reserve_FTA,Reserve_FT_PCT,Reserve_ORB,Reserve_DRB,Reserve_TRB,Reserve_AST,Reserve_STL,Reserve_BLK,Reserve_TOV,Reserve_PF,Reserve_PTS,Reserve_PLUS_MINUS
2018-10-16T20:00:00,Boston Celtics,12.2,2.25,4.25,0.3765,0.875,2.125,0.22325,0.125,0.25,0.0625,0.625,2.875,3.5,0.875,0.25,0.125,0.625,1.375,5.5,5.625
2018-10-16T20:00:00,Philadelphia 76ers,12.877777777777778,1.6666666666666667,4.5,0.302,0.3333333333333333,1.8333333333333333,0.041666666666666664,0.6666666666666666,1.0,0.20833333333333334,0.0,1.1666666666666667,1.1666666666666667,0.8333333333333334,0.0,0.0,0.0,0.8333333333333334,4.333333333333333,-7.166666666666667
2018-10-16T22:30:00,Golden State Warriors,10.021428571428572,1.4285714285714286,3.0,0.2935714285714286,0.14285714285714285,0.42857142857142855,0.14285714285714285,0.0,0.0,0.0,1.7142857142857142,1.4285714285714286,3.142857142857143,0.8571428571428571,0.2857142857142857,0.42857142857142855,0.7142857142857143,1.5714285714285714,3.0,1.1428571428571428
2018-10-16T22:30:00,Oklahoma City Thunder,17.28333333333333,1.8,5.2,0.3722,0.6,2.6,0.1166,1.4,2.4,0.36,1.0,2.0,3.0,1.0,0.4,0.8,0.4,1.6,5.6,-2.8
2018-10-17T19:00:00,Brooklyn Nets,19.316666666666666,3.75,6.5,0.514,0.25,1.75,0.125,0.75,1.5,0.15,0.0,3.5,3.5,2.75,0.75,0.0,2.0,2.25,8.5,5.75
2018-10-17T19:00:00,Charlotte Hornets,20.13,3.4,7.2,0.4076000000000001,0.8,2.0,0.1,1.6,2.6,0.3534,0.8,2.8,3.6,2.2,0.4,0.6,1.0,2.2,9.2,4.2
2018-10-17T19:00:00,Detroit Pistons,19.926666666666666,2.2,5.2,0.371,0.2,1.6,0.0666,0.8,0.8,0.4,0.4,1.6,2.0,1.6,0.8,0.4,1.0,1.8,5.4,1.6
2018-10-17T19:00:00,Indiana Pacers,14.23333333333333,3.125,5.375,0.42575,0.5,1.875,0.175,0.5,1.0,0.25,0.875,2.75,3.625,1.875,0.25,0.25,0.875,1.5,7.25,11.75
2018-10-17T19:00:00,Memphis Grizzlies,18.130555555555556,1.5,5.5,0.28,0.16666666666666666,1.0,0.16666666666666666,2.1666666666666665,2.8333333333333335,0.4523333333333333,0.5,1.5,2.0,1.0,0.6666666666666666,0.16666666666666666,0.6666666666666666,1.3333333333333333,5.333333333333333,-11.166666666666666
2018-10-17T19:00:00,Miami Heat,21.604166666666668,2.75,8.25,0.3385,0.25,2.0,0.08325,1.5,2.0,0.5625,2.0,3.0,5.0,1.0,0.5,0.0,1.5,2.25,7.25,-10.5
2018-10-17T19:00:00,Milwaukee Bucks,13.216666666666667,1.8333333333333333,3.5,0.4166666666666667,0.6666666666666666,1.5,0.3055,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.8333333333333334,2.5,3.3333333333333335,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.5,1.1666666666666667,4.666666666666667,-3.5
2018-10-17T19:00:00,Orlando Magic,27.195833333333333,3.75,8.75,0.44125,0.25,3.0,0.125,1.25,2.5,0.29175,1.5,3.0,4.5,1.5,1.0,1.75,0.5,2.75,9.0,13.0
2018-10-17T19:30:00,Atlanta Hawks,12.072916666666666,2.0,4.25,0.421875,0.25,1.25,0.104125,0.625,0.75,0.25,0.375,2.25,2.625,0.75,0.625,0.125,0.875,1.25,4.875,-5.625
2018-10-17T19:30:00,Cleveland Cavaliers,12.345238095238097,1.8571428571428572,4.0,0.3932857142857143,0.2857142857142857,1.1428571428571428,0.10714285714285714,1.1428571428571428,1.5714285714285714,0.2857142857142857,0.2857142857142857,1.8571428571428572,2.142857142857143,0.2857142857142857,0.14285714285714285,0.0,0.7142857142857143,1.5714285714285714,5.142857142857143,0.8571428571428571
2018-10-17T19:30:00,New York Knicks,18.977777777777778,3.5,8.0,0.5391666666666667,0.8333333333333334,3.0,0.16033333333333333,1.5,2.3333333333333335,0.4721666666666667,0.8333333333333334,2.6666666666666665,3.5,1.3333333333333333,1.0,0.5,1.6666666666666667,2.0,9.333333333333334,8.166666666666666
2018-10-17T19:30:00,Toronto Raptors,13.216666666666669,1.8571428571428572,4.714285714285714,0.328,0.5714285714285714,2.0,0.19514285714285712,0.7142857142857143,1.5714285714285714,0.14285714285714285,0.5714285714285714,1.0,1.5714285714285714,0.8571428571428571,0.42857142857142855,0.42857142857142855,0.5714285714285714,2.5714285714285716,5.0,-0.5714285714285714
2018-10-17T20:00:00,Houston Rockets,14.402777777777777,2.3333333333333335,6.333333333333333,0.19999999999999998,0.6666666666666666,3.5,0.12583333333333335,1.3333333333333333,1.8333333333333333,0.3333333333333333,0.3333333333333333,1.6666666666666667,2.0,0.5,0.16666666666666666,0.6666666666666666,0.8333333333333334,1.3333333333333333,6.666666666666667,-3.5
2018-10-17T20:00:00,New Orleans Pelicans,8.423809523809522,1.4285714285714286,2.857142857142857,0.13328571428571429,0.42857142857142855,0.8571428571428571,0.21428571428571427,0.7142857142857143,0.8571428571428571,0.119,0.2857142857142857,1.4285714285714286,1.7142857142857142,0.7142857142857143,0.14285714285714285,0.0,0.5714285714285714,1.1428571428571428,4.0,-3.0
