date,team,Starter_MP,Starter_FG,Starter_FGA,Starter_FG_PCT,Starter_FG3,Starter_FG3A,Starter_FG3_PCT,Starter_FT,Starter_FTA,Starter_FT_PCT,Starter_ORB,Starter_DRB,Starter_TRB,Starter_AST,Starter_STL,Starter_BLK,Starter_TOV,Starter_PF,Starter_PTS,Starter_PLUS_MINUS
2020-12-22T19:00:00,Brooklyn Nets,21.349999999999998,5.0,9.8,0.5126000000000001,1.6,3.4,0.36079999999999995,2.6,3.0,0.6,1.2,5.2,6.4,2.8,0.8,0.6,2.0,2.2,14.2,24.8
2020-12-22T19:00:00,Golden State Warriors,26.636666666666667,4.6,14.0,0.3336,1.2,4.8,0.5066,2.4,3.6,0.55,1.8,2.2,4.0,2.6,1.0,0.8,2.2,1.8,12.8,-23.4
2020-12-22T22:00:00,Los Angeles Clippers,28.263333333333332,6.6,12.8,0.5029999999999999,2.2,5.4,0.43000000000000005,2.0,2.4,0.52,1.4,3.8,5.2,3.0,1.0,0.2,2.4,3.4,17.4,3.6
2020-12-22T22:00:00,Los Angeles Lakers,24.400000000000002,4.4,10.2,0.35559999999999997,1.2,3.6,0.22160000000000002,2.6,3.4,0.6428,0.6,4.8,5.4,3.4,0.4,0.2,2.4,2.8,12.6,-8.2
2020-12-23T19:00:00,Charlotte Hornets,30.296666666666663,6.8,13.0,0.4542,3.2,7.2,0.2694,1.2,1.8,0.5,0.8,2.2,3.0,4.2,1.2,0.6,1.8,2.4,18.0,-8.0
2020-12-23T19:00:00,Cleveland Cavaliers,32.94,6.4,12.2,0.5692,1.8,3.2,0.55,2.8,3.4,0.7333999999999999,1.6,6.0,7.6,5.6,1.0,0.4,2.6,2.8,17.4,3.0
2020-12-23T19:00:00,Indiana Pacers,30.093333333333334,6.8,13.0,0.4896,1.2,3.8,0.27999999999999997,3.2,4.2,0.8667999999999999,1.4,5.2,6.6,3.8,0.8,1.6,1.6,2.6,18.0,8.6
2020-12-23T19:00:00,Miami Heat,31.110000000000003,5.8,11.4,0.4668,1.0,2.6,0.24,2.2,2.4,0.55,0.8,4.6,5.4,3.4,1.4,0.2,3.6,2.0,14.8,-6.6
2020-12-23T19:00:00,New York Knicks,27.856666666666666,5.2,9.8,0.5058,1.4,2.8,0.475,1.0,1.6,0.35,0.8,4.4,5.2,3.8,0.4,0.6,2.2,3.4,12.8,-12.6
2020-12-23T19:00:00,Orlando Magic,27.45,5.6,11.4,0.44079999999999997,1.4,3.6,0.29,2.4,4.4,0.51,1.0,4.2,5.2,2.8,1.8,0.4,2.0,2.4,15.0,4.0
2020-12-23T19:00:00,Philadelphia 76ers,29.889999999999997,5.0,11.2,0.4138,0.4,2.8,0.24,3.6,4.6,0.6444,1.4,4.8,6.2,3.0,1.2,1.0,2.2,3.2,14.0,-7.8
2020-12-23T19:00:00,Washington Wizards,28.46666666666667,5.8,12.4,0.5922,1.2,3.2,0.475,2.0,3.2,0.39139999999999997,0.8,4.2,5.0,4.2,1.4,0.2,3.2,3.2,14.8,7.8
2020-12-23T19:30:00,Boston Celtics,31.110000000000003,7.0,14.6,0.41419999999999996,2.2,5.8,0.23399999999999999,1.4,1.6,0.35,0.8,4.0,4.8,3.4,0.8,0.8,0.8,2.2,17.6,0.6
2020-12-23T19:30:00,Milwaukee Bucks,33.95666666666666,8.4,15.4,0.584,2.2,5.2,0.45,2.8,3.2,0.55,2.0,6.2,8.2,3.2,0.8,1.0,2.6,3.2,21.8,5.4
2020-12-23T19:30:00,New Orleans Pelicans,32.126666666666665,6.2,11.0,0.583,2.2,4.4,0.3,1.6,3.2,0.3834,1.4,5.4,6.8,5.0,2.0,1.4,3.6,2.0,16.2,11.8
2020-12-23T19:30:00,Toronto Raptors,34.36333333333333,5.4,12.6,0.4288,2.0,6.6,0.2746,0.4,0.8,0.2,1.0,4.4,5.4,4.2,1.4,0.4,3.2,2.8,13.2,-13.0
2020-12-23T20:00:00,Atlanta Hawks,23.383333333333333,6.2,9.0,0.6956,1.6,2.8,0.5332,4.0,4.4,0.7714000000000001,0.6,4.0,4.6,2.6,0.4,0.4,2.0,2.6,18.0,29.8
2020-12-23T20:00:00,Chicago Bulls,29.076666666666664,4.8,11.0,0.4356,1.4,5.2,0.2536,3.8,4.0,0.9666,0.6,3.6,4.2,3.0,1.2,0.2,2.6,2.6,14.8,-21.8
