date,team,Starter_MP,Starter_FG,Starter_FGA,Starter_FG_PCT,Starter_FG3,Starter_FG3A,Starter_FG3_PCT,Starter_FT,Starter_FTA,Starter_FT_PCT,Starter_ORB,Starter_DRB,Starter_TRB,Starter_AST,Starter_STL,Starter_BLK,Starter_TOV,Starter_PF,Starter_PTS,Starter_PLUS_MINUS
2022-10-18T19:30:00,Boston Celtics,32.33,6.6,12.4,0.44539999999999996,1.8,5.8,0.2538,3.4,4.2,0.5306,0.6,4.6,5.2,3.6,1.0,0.4,1.8,2.2,18.4,6.8
2022-10-18T19:30:00,Philadelphia 76ers,36.39666666666667,7.2,13.4,0.5486000000000001,2.2,5.6,0.32460000000000006,4.6,5.2,0.6556,0.8,5.2,6.0,2.8,1.0,0.4,2.4,3.4,21.2,-5.0
2022-10-18T22:00:00,Golden State Warriors,25.416666666666664,5.8,11.6,0.5276000000000001,2.0,5.2,0.2424,2.8,3.0,0.5599999999999999,0.8,4.2,5.0,4.2,1.4,0.4,1.6,2.4,16.4,19.6
2022-10-18T22:00:00,Los Angeles Lakers,31.110000000000003,6.4,14.4,0.3972,1.0,4.8,0.1666,3.2,4.0,0.6155999999999999,1.6,5.8,7.4,3.6,2.0,0.8,3.0,2.0,17.0,-11.0
2022-10-19T19:00:00,Detroit Pistons,31.923333333333336,5.4,11.6,0.46159999999999995,2.2,5.2,0.33659999999999995,3.6,3.8,0.975,1.0,3.0,4.0,4.4,1.6,0.0,1.4,2.4,16.6,2.0
2022-10-19T19:00:00,Indiana Pacers,26.636666666666667,5.0,11.4,0.40520000000000006,2.0,5.6,0.3728,2.2,2.8,0.67,1.6,3.4,5.0,2.4,0.6,0.4,1.2,1.2,14.2,-5.2
2022-10-19T19:00:00,Orlando Magic,31.92333333333333,7.4,13.4,0.5648,2.0,4.4,0.375,1.6,2.2,0.5428,1.0,4.8,5.8,3.4,0.8,0.6,3.2,3.8,18.4,1.6
2022-10-19T19:00:00,Washington Wizards,26.43333333333333,5.0,11.4,0.528,1.4,4.6,0.3572,2.8,3.6,0.8533999999999999,1.4,5.4,6.8,3.4,0.4,1.0,1.6,1.8,14.2,10.6
2022-10-19T19:30:00,Atlanta Hawks,33.75333333333334,7.0,14.2,0.49779999999999996,1.0,3.8,0.3288,3.2,3.4,0.7,0.6,4.8,5.4,5.2,1.6,0.8,1.2,1.8,18.2,9.2
2022-10-19T19:30:00,Brooklyn Nets,29.686666666666667,5.8,11.4,0.587,0.8,3.0,0.2,2.4,3.2,0.47780000000000006,0.8,4.6,5.4,3.0,1.4,1.6,2.6,4.0,14.8,-21.8
2022-10-19T19:30:00,Chicago Bulls,32.94,6.0,13.0,0.41079999999999994,1.4,4.4,0.3068,2.4,3.4,0.4272,1.8,5.4,7.2,3.8,1.4,1.0,1.8,2.2,15.8,9.8
2022-10-19T19:30:00,Cleveland Cavaliers,30.29666666666667,5.2,10.6,0.45760000000000006,1.0,2.8,0.3166,3.0,3.6,0.6666000000000001,1.0,3.8,4.8,4.0,1.0,0.8,2.6,2.2,14.4,-1.4
2022-10-19T19:30:00,Houston Rockets,30.70333333333333,5.8,13.6,0.5242,1.6,5.4,0.2532,1.2,1.4,0.7,1.6,4.2,5.8,4.4,0.6,0.6,1.6,2.2,14.4,-6.2
2022-10-19T19:30:00,Memphis Grizzlies,35.989999999999995,5.8,14.6,0.41900000000000004,2.6,7.2,0.30999999999999994,2.4,3.8,0.4136,2.4,6.4,8.8,4.2,0.8,0.8,2.0,1.8,16.6,7.4
2022-10-19T19:30:00,Miami Heat,33.75333333333334,4.4,11.4,0.35940000000000005,1.0,3.2,0.1666,3.8,4.6,0.4584,1.0,5.4,6.4,2.6,1.2,0.4,2.2,2.8,13.6,-13.0
2022-10-19T19:30:00,New Orleans Pelicans,29.48333333333333,7.2,15.0,0.4548,1.4,3.4,0.4332,3.2,4.2,0.8434000000000001,2.6,4.8,7.4,3.8,1.6,0.4,1.6,2.4,19.0,24.4
2022-10-19T19:30:00,New York Knicks,30.703333333333337,5.0,13.2,0.43,1.2,4.4,0.2166,2.4,3.0,0.5266,1.8,4.4,6.2,4.2,0.8,0.4,1.0,3.6,13.6,0.4
2022-10-19T19:30:00,Toronto Raptors,35.989999999999995,6.0,13.4,0.44559999999999994,2.2,4.6,0.5466,3.8,5.2,0.6142,1.8,3.8,5.6,3.6,2.6,0.4,2.4,3.6,18.0,7.6
