Unnamed: 0,Date,Home,Away,OU,Spread,ML_Home,ML_Away,Points,Win_Margin,Days_Rest_Home,Days_Rest_Away,Home_Prob,Away_Prob,Home_Odds,Away_Odds
0,2020-12-14,Cleveland Cavaliers,Indiana Pacers,215.5,-6.5,184,-225,222,10,2,2,0.5434782608695652,0.4444444444444444,1.84,2.25
0,2020-12-14,Charlotte Hornets,Toronto Raptors,217.0,-4.5,146,-180,221,-3,2,2,0.684931506849315,0.5555555555555556,1.4600000000000002,1.7999999999999998
0,2020-12-14,Miami Heat,New Orleans Pelicans,217.5,3.5,-162,132,206,-22,7,7,0.6172839506172839,0.7575757575757576,1.62,1.32
0,2020-12-14,Minnesota Timberwolves,Memphis Grizzlies,223.0,1.0,-112,-108,227,-19,2,2,0.8928571428571428,0.9259259259259258,1.12,1.08
0,2020-12-14,Milwaukee Bucks,Dallas Mavericks,225.5,4.5,-176,142,240,-16,2,2,0.5681818181818182,0.7042253521126761,1.7599999999999998,1.42
0,2020-12-14,Utah Jazz,Phoenix Suns,222.0,-2.5,120,-148,203,19,2,2,0.8333333333333334,0.6756756756756757,1.2,1.48
0,2020-12-15,Philadelphia 76ers,Boston Celtics,216.0,4.5,-176,142,207,9,7,7,0.5681818181818182,0.7042253521126761,1.7599999999999998,1.42
0,2020-12-15,Houston Rockets,San Antonio Spurs,223.5,3.5,-150,122,210,14,2,3,0.6666666666666666,0.819672131147541,1.5,1.22
0,2020-12-15,Sacramento Kings,Golden State Warriors,225.5,2.0,-132,108,227,1,2,3,0.7575757575757576,0.9259259259259258,1.32,1.08
0,2020-12-16,New York Knicks,Cleveland Cavaliers,212.5,3.0,-158,128,193,7,3,2,0.6329113924050632,0.78125,1.58,1.28
0,2020-12-16,Oklahoma City Thunder,Chicago Bulls,219.5,1.0,-115,-105,227,-21,4,3,0.8695652173913044,0.9523809523809524,1.15,1.05
0,2020-12-16,Denver Nuggets,Portland Trail Blazers,221.0,4.0,-170,138,221,31,4,3,0.5882352941176471,0.7246376811594204,1.7,1.38
0,2020-12-16,Phoenix Suns,Los Angeles Lakers,220.5,-4.0,146,-180,219,-5,2,3,0.684931506849315,0.5555555555555556,1.4600000000000002,1.7999999999999998
0,2020-12-17,Washington Wizards,Detroit Pistons,216.5,5.5,-225,180,183,-11,4,4,0.4444444444444444,0.5555555555555556,2.25,1.7999999999999998
0,2020-12-17,Orlando Magic,Charlotte Hornets,221.0,5.0,-194,156,238,-8,4,3,0.5154639175257733,0.641025641025641,1.94,1.56
0,2020-12-17,Houston Rockets,San Antonio Spurs,221.5,4.5,-200,160,234,22,2,2,0.5,0.625,2.0,1.6
0,2020-12-17,Memphis Grizzlies,Atlanta Hawks,226.5,2.0,-124,102,234,22,3,4,0.8064516129032259,0.9803921568627452,1.24,1.02
0,2020-12-17,Dallas Mavericks,Minnesota Timberwolves,226.0,6.5,-265,210,256,-2,3,3,0.3773584905660377,0.4761904761904761,2.65,2.1
0,2020-12-17,Sacramento Kings,Golden State Warriors,226.5,2.0,-134,110,218,-8,2,2,0.7462686567164178,0.9090909090909092,1.34,1.1
0,2020-12-17,Los Angeles Clippers,Utah Jazz,218.5,4.5,-188,152,230,-20,4,3,0.5319148936170213,0.6578947368421053,1.88,1.5199999999999998
0,2020-12-18,Indiana Pacers,Philadelphia 76ers,219.5,-1.5,-108,-112,220,-6,4,3,0.9259259259259258,0.8928571428571428,1.08,1.12
0,2020-12-18,Toronto Raptors,Miami Heat,218.5,2.5,-132,108,222,-12,4,4,0.7575757575757576,0.9259259259259258,1.32,1.08
0,2020-12-18,New York Knicks,Cleveland Cavaliers,211.0,3.0,-152,124,202,36,2,2,0.6578947368421053,0.8064516129032259,1.5199999999999998,1.24
0,2020-12-18,New Orleans Pelicans,Milwaukee Bucks,229.0,-1.5,100,-122,240,14,4,4,1.0,0.819672131147541,1.0,1.22
0,2020-12-18,Boston Celtics,Brooklyn Nets,230.5,-3.0,124,-146,202,-24,3,5,0.8064516129032259,0.684931506849315,1.24,1.4600000000000002
0,2020-12-18,Oklahoma City Thunder,Chicago Bulls,223.0,-1.5,100,-122,208,-2,2,2,1.0,0.819672131147541,1.0,1.22
0,2020-12-18,Denver Nuggets,Portland Trail Blazers,220.0,6.5,-290,225,225,33,2,2,0.3448275862068966,0.4444444444444444,2.9,2.25
0,2020-12-18,Phoenix Suns,Los Angeles Lakers,221.5,-3.5,134,-164,227,-1,2,2,0.7462686567164178,0.6097560975609756,1.34,1.64
0,2020-12-19,Orlando Magic,Charlotte Hornets,223.5,4.5,-188,152,237,3,2,2,0.5319148936170213,0.6578947368421053,1.88,1.5199999999999998
0,2020-12-19,Washington Wizards,Detroit Pistons,209.0,4.5,-188,152,195,3,2,2,0.5319148936170213,0.6578947368421053,1.88,1.5199999999999998
0,2020-12-19,Memphis Grizzlies,Atlanta Hawks,228.5,3.5,-164,134,233,-1,2,2,0.6097560975609756,0.7462686567164178,1.64,1.34
0,2020-12-22,Brooklyn Nets,Golden State Warriors,235.0,7.5,-310,250,224,26,4,5,0.3225806451612903,0.4,3.1,2.5
0,2020-12-22,Los Angeles Lakers,Los Angeles Clippers,219.0,2.5,-138,118,225,-7,4,5,0.7246376811594204,0.8474576271186441,1.38,1.18
0,2020-12-23,Indiana Pacers,New York Knicks,215.5,7.5,-330,265,228,14,5,5,0.303030303030303,0.3773584905660377,3.3,2.65
0,2020-12-23,Philadelphia 76ers,Washington Wizards,230.5,7.0,-295,240,220,6,5,4,0.3389830508474576,0.4166666666666667,2.95,2.4
0,2020-12-23,Orlando Magic,Miami Heat,218.0,-5.0,172,-205,220,6,4,5,0.5813953488372093,0.4878048780487805,1.72,2.05
0,2020-12-23,Cleveland Cavaliers,Charlotte Hornets,217.0,-3.0,132,-156,235,7,5,4,0.7575757575757576,0.641025641025641,1.32,1.56
0,2020-12-23,Toronto Raptors,New Orleans Pelicans,228.5,4.0,-176,148,212,-14,5,5,0.5681818181818182,0.6756756756756757,1.7599999999999998,1.48
0,2020-12-23,Boston Celtics,Milwaukee Bucks,223.5,-4.5,166,-198,243,1,5,5,0.6024096385542169,0.5050505050505051,1.66,1.98
0,2020-12-23,Houston Rockets,Oklahoma City Thunder,218.0,3.0,-144,122,0,0,6,5,0.6944444444444444,0.819672131147541,1.44,1.22
0,2020-12-23,Minnesota Timberwolves,Detroit Pistons,224.0,5.5,-230,190,212,10,6,4,0.4347826086956522,0.5263157894736842,2.3,1.9
0,2020-12-23,Chicago Bulls,Atlanta Hawks,233.5,-2.0,108,-126,228,-20,5,4,0.9259259259259258,0.7936507936507936,1.08,1.26
0,2020-12-23,Memphis Grizzlies,San Antonio Spurs,230.5,2.0,-130,110,250,-12,4,6,0.7692307692307692,0.9090909090909092,1.3,1.1
0,2020-12-23,Denver Nuggets,Sacramento Kings,226.5,7.5,-320,260,246,-2,5,6,0.3125,0.3846153846153846,3.2,2.6
0,2020-12-23,Portland Trail Blazers,Utah Jazz,226.0,-1.5,108,-126,220,-20,5,6,0.9259259259259258,0.7936507936507936,1.08,1.26
0,2020-12-23,Phoenix Suns,Dallas Mavericks,233.0,-1.0,-108,-108,208,4,5,6,0.9259259259259258,0.9259259259259258,1.08,1.08
0,2020-12-25,Miami Heat,New Orleans Pelicans,222.5,3.5,-152,128,209,13,2,2,0.6578947368421053,0.78125,1.5199999999999998,1.28
0,2020-12-25,Milwaukee Bucks,Golden State Warriors,231.0,10.0,-550,410,237,39,2,3,0.1818181818181818,0.2439024390243902,5.5,4.1
0,2020-12-25,Los Angeles Lakers,Dallas Mavericks,227.0,6.5,-295,240,253,23,3,2,0.3389830508474576,0.4166666666666667,2.95,2.4
0,2020-12-25,Denver Nuggets,Los Angeles Clippers,226.5,-3.5,138,-164,229,-13,2,3,0.7246376811594204,0.6097560975609756,1.38,1.64
0,2020-12-26,Memphis Grizzlies,Atlanta Hawks,239.0,2.5,-134,114,234,-10,3,3,0.7462686567164178,0.8771929824561404,1.34,1.14
0,2020-12-26,Detroit Pistons,Cleveland Cavaliers,213.5,1.0,-116,-102,247,-9,3,3,0.8620689655172414,0.9803921568627452,1.16,1.02
0,2020-12-26,Charlotte Hornets,Oklahoma City Thunder,219.5,2.5,-134,114,216,-2,3,3,0.7462686567164178,0.8771929824561404,1.34,1.14
0,2020-12-26,Washington Wizards,Orlando Magic,232.5,2.0,-134,114,250,-10,3,3,0.7462686567164178,0.8771929824561404,1.34,1.14
0,2020-12-26,New York Knicks,Philadelphia 76ers,215.0,-8.0,280,-350,198,-20,3,3,0.3571428571428571,0.2857142857142857,2.8,3.5
0,2020-12-26,Chicago Bulls,Indiana Pacers,223.5,-5.5,198,-240,231,-19,3,3,0.5050505050505051,0.4166666666666667,1.98,2.4
0,2020-12-26,San Antonio Spurs,Toronto Raptors,228.0,-2.0,110,-130,233,5,3,3,0.9090909090909092,0.7692307692307692,1.1,1.3
0,2020-12-26,Utah Jazz,Minnesota Timberwolves,228.5,9.0,-430,340,227,-5,3,3,0.2325581395348837,0.2941176470588235,4.3,3.4
0,2020-12-26,Sacramento Kings,Phoenix Suns,227.0,-3.5,140,-166,209,3,3,3,0.7142857142857143,0.6024096385542169,1.4,1.66
0,2020-12-26,Portland Trail Blazers,Houston Rockets,225.5,7.5,-350,275,254,2,3,3,0.2857142857142857,0.3636363636363636,3.5,2.75
0,2020-12-27,Los Angeles Clippers,Dallas Mavericks,226.5,3.0,-148,126,197,-51,2,2,0.6756756756756757,0.7936507936507936,1.48,1.26
0,2020-12-27,New Orleans Pelicans,San Antonio Spurs,227.5,5.0,-205,172,193,3,2,1,0.4878048780487805,0.5813953488372093,2.05,1.72
0,2020-12-27,Charlotte Hornets,Brooklyn Nets,233.0,-11.0,440,-590,210,2,1,2,0.2272727272727272,0.1694915254237288,4.4,5.9
0,2020-12-27,Washington Wizards,Orlando Magic,230.0,-2.0,104,-122,233,-7,1,1,0.9615384615384616,0.819672131147541,1.04,1.22
0,2020-12-27,Cleveland Cavaliers,Philadelphia 76ers,216.5,-7.5,260,-320,212,24,1,1,0.3846153846153846,0.3125,2.6,3.2
0,2020-12-27,New York Knicks,Milwaukee Bucks,222.5,-13.0,750,-1200,240,20,1,2,0.1333333333333333,0.0833333333333333,7.5,12.0
0,2020-12-27,Indiana Pacers,Boston Celtics,221.5,-2.0,106,-124,215,1,1,2,0.9433962264150942,0.8064516129032259,1.06,1.24
0,2020-12-27,Chicago Bulls,Golden State Warriors,229.5,-3.5,138,-164,257,-1,1,2,0.7246376811594204,0.6097560975609756,1.38,1.64
0,2020-12-27,Sacramento Kings,Phoenix Suns,225.0,-3.0,132,-156,216,-16,1,1,0.7575757575757576,0.641025641025641,1.32,1.56
0,2020-12-27,Los Angeles Lakers,Minnesota Timberwolves,228.5,10.5,-590,440,218,36,2,1,0.1694915254237288,0.2272727272727272,5.9,4.4
0,2020-12-28,Brooklyn Nets,Memphis Grizzlies,228.0,-2.5,124,-146,227,-5,1,2,0.8064516129032259,0.684931506849315,1.24,1.4600000000000002
0,2020-12-28,Atlanta Hawks,Detroit Pistons,224.5,10.5,-590,440,248,8,2,2,0.1694915254237288,0.2272727272727272,5.9,4.4
0,2020-12-28,Oklahoma City Thunder,Utah Jazz,218.0,-9.0,320,-405,219,-1,2,2,0.3125,0.2469135802469136,3.2,4.05
0,2020-12-28,Denver Nuggets,Houston Rockets,222.0,6.5,-260,215,235,13,3,2,0.3846153846153846,0.4651162790697674,2.6,2.15
0,2020-12-28,Los Angeles Lakers,Portland Trail Blazers,229.0,5.5,-240,198,222,-8,1,2,0.4166666666666667,0.5050505050505051,2.4,1.98
0,2020-12-29,Washington Wizards,Chicago Bulls,237.5,6.0,-245,200,222,-8,2,2,0.4081632653061224,0.5,2.45,2.0
0,2020-12-29,Indiana Pacers,Boston Celtics,219.5,1.0,-116,-102,227,-5,2,2,0.8620689655172414,0.9803921568627452,1.16,1.02
0,2020-12-29,Detroit Pistons,Golden State Warriors,227.0,-4.5,154,-184,222,-10,1,2,0.6493506493506493,0.5434782608695652,1.54,1.84
0,2020-12-29,Cleveland Cavaliers,New York Knicks,215.5,3.5,-152,128,181,-9,2,2,0.6578947368421053,0.78125,1.5199999999999998,1.28
0,2020-12-29,Philadelphia 76ers,Toronto Raptors,219.5,1.5,-120,102,193,7,2,3,0.8333333333333334,0.9803921568627452,1.2,1.02
0,2020-12-29,Miami Heat,Milwaukee Bucks,227.5,-5.5,194,-235,241,-47,4,2,0.5154639175257733,0.425531914893617,1.94,2.35
0,2020-12-29,Oklahoma City Thunder,Orlando Magic,218.5,-6.5,210,-255,225,-11,1,2,0.4761904761904761,0.3921568627450981,2.1,2.55
0,2020-12-29,Los Angeles Clippers,Minnesota Timberwolves,225.5,10.5,-620,460,225,23,2,2,0.1612903225806451,0.2173913043478261,6.2,4.6
0,2020-12-29,Sacramento Kings,Denver Nuggets,227.5,-2.5,120,-142,240,10,2,1,0.8333333333333334,0.7042253521126761,1.2,1.42
0,2020-12-29,Phoenix Suns,New Orleans Pelicans,222.0,2.5,-142,120,197,25,2,2,0.7042253521126761,0.8333333333333334,1.42,1.2
0,2020-12-30,Brooklyn Nets,Atlanta Hawks,239.0,6.0,-245,200,286,4,2,2,0.4081632653061224,0.5,2.45,2.0
0,2020-12-30,Boston Celtics,Memphis Grizzlies,218.5,7.0,-300,245,233,19,1,2,0.3333333333333333,0.4081632653061224,3.0,2.45
0,2020-12-30,Miami Heat,Milwaukee Bucks,228.5,-6.0,194,-235,227,11,1,1,0.5154639175257733,0.425531914893617,1.94,2.35
0,2020-12-30,San Antonio Spurs,Los Angeles Lakers,231.0,-7.0,240,-295,228,-14,3,2,0.4166666666666667,0.3389830508474576,2.4,2.95
0,2020-12-30,Dallas Mavericks,Charlotte Hornets,225.0,8.5,-360,290,217,-19,3,3,0.2777777777777778,0.3448275862068966,3.6,2.9
0,2020-12-30,Los Angeles Clippers,Portland Trail Blazers,226.0,5.5,-235,194,233,23,1,2,0.425531914893617,0.5154639175257733,2.35,1.94
0,2020-12-31,Indiana Pacers,Cleveland Cavaliers,220.5,8.0,-330,265,218,20,2,2,0.303030303030303,0.3773584905660377,3.3,2.65
0,2020-12-31,Washington Wizards,Chicago Bulls,235.5,7.5,-320,260,263,-3,2,2,0.3125,0.3846153846153846,3.2,2.6
0,2020-12-31,Orlando Magic,Philadelphia 76ers,219.5,-3.5,146,-174,208,-24,2,2,0.684931506849315,0.5747126436781609,1.4600000000000002,1.7400000000000002
0,2020-12-31,Houston Rockets,Sacramento Kings,231.5,5.0,-200,168,241,3,3,2,0.5,0.5952380952380952,2.0,1.68
0,2020-12-31,Toronto Raptors,New York Knicks,216.0,9.0,-420,330,183,17,2,2,0.238095238095238,0.303030303030303,4.2,3.3
0,2020-12-31,Oklahoma City Thunder,New Orleans Pelicans,215.0,-5.5,188,-225,193,-33,2,2,0.5319148936170213,0.4444444444444444,1.88,2.25
0,2020-12-31,Utah Jazz,Phoenix Suns,219.5,4.0,-168,142,201,-11,3,2,0.5952380952380952,0.7042253521126761,1.68,1.42
0,2021-01-01,Detroit Pistons,Boston Celtics,214.0,-8.0,285,-355,189,3,3,2,0.3508771929824561,0.2816901408450704,2.85,3.55
0,2021-01-01,Dallas Mavericks,Miami Heat,224.0,-2.0,112,-132,176,10,2,2,0.8928571428571428,0.7575757575757576,1.12,1.32
0,2021-01-01,Charlotte Hornets,Memphis Grizzlies,220.5,4.5,-184,154,201,-15,2,2,0.5434782608695652,0.6493506493506493,1.84,1.54
0,2021-01-01,Brooklyn Nets,Atlanta Hawks,245.0,6.0,-240,194,210,-18,2,2,0.4166666666666667,0.5154639175257733,2.4,1.94
0,2021-01-01,Milwaukee Bucks,Chicago Bulls,232.5,14.5,-1350,810,222,30,2,1,0.074074074074074,0.1234567901234568,13.5,8.1
0,2021-01-01,Minnesota Timberwolves,Washington Wizards,234.5,1.5,-120,102,239,-21,3,1,0.8333333333333334,0.9803921568627452,1.2,1.02
0,2021-01-01,San Antonio Spurs,Los Angeles Lakers,229.0,-7.5,270,-335,212,-6,2,2,0.3703703703703703,0.2985074626865671,2.7,3.35
0,2021-01-01,Denver Nuggets,Phoenix Suns,221.0,3.5,-158,134,209,-3,3,1,0.6329113924050632,0.7462686567164178,1.58,1.34
0,2021-01-01,Utah Jazz,Los Angeles Clippers,221.0,-3.5,136,-162,206,6,1,2,0.7352941176470588,0.6172839506172839,1.36,1.62
0,2021-01-01,Golden State Warriors,Portland Trail Blazers,237.5,-3.5,138,-164,221,-25,3,2,0.7246376811594204,0.6097560975609756,1.38,1.64
0,2021-01-02,Houston Rockets,Sacramento Kings,233.5,4.0,-176,148,196,8,2,2,0.5681818181818182,0.6756756756756757,1.7599999999999998,1.48
0,2021-01-02,Philadelphia 76ers,Charlotte Hornets,216.5,9.5,-480,360,239,15,2,1,0.2083333333333333,0.2777777777777778,4.8,3.6
0,2021-01-02,Indiana Pacers,New York Knicks,215.0,9.0,-420,330,208,-4,2,2,0.238095238095238,0.303030303030303,4.2,3.3
0,2021-01-02,Orlando Magic,Oklahoma City Thunder,217.0,4.5,-198,166,207,-9,2,2,0.5050505050505051,0.6024096385542169,1.98,1.66
0,2021-01-02,Atlanta Hawks,Cleveland Cavaliers,229.0,5.5,-235,194,187,-5,1,2,0.425531914893617,0.5154639175257733,2.35,1.94
0,2021-01-02,New Orleans Pelicans,Toronto Raptors,216.0,-1.0,-104,-112,236,4,2,2,0.9615384615384616,0.8928571428571428,1.04,1.12
0,2021-01-03,Detroit Pistons,Boston Celtics,214.0,-8.0,270,-335,242,-2,2,2,0.3703703703703703,0.2985074626865671,2.7,3.35
0,2021-01-03,Memphis Grizzlies,Los Angeles Lakers,219.5,-9.0,320,-405,202,-14,2,2,0.3125,0.2469135802469136,3.2,4.05
0,2021-01-03,Brooklyn Nets,Washington Wizards,241.5,7.5,-320,260,245,-1,2,2,0.3125,0.3846153846153846,3.2,2.6
0,2021-01-03,Minnesota Timberwolves,Denver Nuggets,226.0,-8.5,295,-370,233,-15,2,2,0.3389830508474576,0.2702702702702702,2.95,3.7000000000000006
0,2021-01-03,San Antonio Spurs,Utah Jazz,224.0,-5.5,194,-235,239,-21,2,2,0.5154639175257733,0.425531914893617,1.94,2.35
0,2021-01-03,Chicago Bulls,Dallas Mavericks,223.0,-4.0,148,-176,226,10,2,2,0.6756756756756757,0.5681818181818182,1.48,1.7599999999999998
0,2021-01-03,Phoenix Suns,Los Angeles Clippers,216.0,-3.0,128,-152,219,-5,2,2,0.78125,0.6578947368421053,1.28,1.5199999999999998
0,2021-01-03,Golden State Warriors,Portland Trail Blazers,235.0,-4.5,166,-198,259,15,2,2,0.6024096385542169,0.5050505050505051,1.66,1.98
0,2021-01-04,Orlando Magic,Cleveland Cavaliers,215.5,5.5,-230,190,186,20,2,2,0.4347826086956522,0.5263157894736842,2.3,1.9
