Unnamed: 0,Date,Home,Away,OU,Spread,ML_Home,ML_Away,Points,Win_Margin,Days_Rest_Home,Days_Rest_Away,Home_Prob,Away_Prob,Home_Odds,Away_Odds
0,2019-10-24,Detroit Pistons,Atlanta Hawks,218.5,-10.5,2900,-5000,217,-17,7,7,0.0344827586206896,0.02,29.0,50.0
0,2019-10-24,Houston Rockets,Milwaukee Bucks,226.5,-4.5,230,-300,228,-6,7,7,0.4347826086956522,0.3333333333333333,2.3,3.0
0,2019-10-24,Golden State Warriors,Los Angeles Clippers,256.5,-17.5,7000,-20000,263,-19,7,7,0.0142857142857142,0.005,70.0,200.0
0,2019-10-25,Charlotte Hornets,Minnesota Timberwolves,226.5,-23.5,4500,-8000,220,-22,7,7,0.0222222222222222,0.0125,45.0,80.0
0,2019-10-25,Boston Celtics,Toronto Raptors,223.5,2.5,-600,410,218,6,7,7,0.1666666666666666,0.2439024390243902,6.0,4.1
0,2019-10-25,Brooklyn Nets,New York Knicks,230.5,-3.5,410,-600,222,4,7,7,0.2439024390243902,0.1666666666666666,4.1,6.0
0,2019-10-25,Oklahoma City Thunder,Washington Wizards,188.5,-5.5,600,-950,182,-12,7,7,0.1666666666666666,0.1052631578947368,6.0,9.5
0,2019-10-25,Memphis Grizzlies,Chicago Bulls,208.5,-2.5,410,-600,212,-8,7,7,0.2439024390243902,0.1666666666666666,4.1,6.0
0,2019-10-25,New Orleans Pelicans,Dallas Mavericks,244.5,-4.5,700,-1350,239,-7,7,7,0.1428571428571428,0.074074074074074,7.0,13.5
0,2019-10-25,Denver Nuggets,Phoenix Suns,177.5,5.5,-600,430,215,1,7,7,0.1666666666666666,0.2325581395348837,6.0,4.3
0,2019-10-25,Sacramento Kings,Portland Trail Blazers,234.5,-12.5,1000,-4000,234,-10,7,7,0.1,0.025,10.0,40.0
0,2019-10-25,Los Angeles Lakers,Utah Jazz,181.5,17.5,-5000,3000,181,9,7,7,0.02,0.0333333333333333,50.0,30.0
0,2019-10-26,Milwaukee Bucks,Miami Heat,245.5,-4.5,750,-1400,257,-5,2,7,0.1333333333333333,0.0714285714285714,7.5,14.0
0,2019-10-26,Detroit Pistons,Philadelphia 76ers,221.5,-4.5,280,-360,228,-6,2,7,0.3571428571428571,0.2777777777777778,2.8,3.6
0,2019-10-26,Atlanta Hawks,Orlando Magic,203.5,0.5,-115,-105,202,4,2,7,0.8695652173913044,0.9523809523809524,1.15,1.05
0,2019-10-26,New York Knicks,Boston Celtics,214.5,-26.5,4500,-8000,213,-23,1,1,0.0222222222222222,0.0125,45.0,80.0
0,2019-10-26,Houston Rockets,New Orleans Pelicans,251.5,5.5,-1800,800,249,3,2,1,0.0555555555555555,0.125,18.0,8.0
0,2019-10-26,Chicago Bulls,Toronto Raptors,194.5,-21.5,10000,-50000,192,-24,1,1,0.01,0.002,100.0,500.0
0,2019-10-26,Cleveland Cavaliers,Indiana Pacers,211.5,10.5,-3000,1000,209,11,7,7,0.0333333333333333,0.1,30.0,10.0
0,2019-10-26,San Antonio Spurs,Washington Wizards,246.5,1.5,-350,270,246,2,7,1,0.2857142857142857,0.3703703703703703,3.5,2.7
0,2019-10-26,Utah Jazz,Sacramento Kings,195.5,30.5,-5000,2700,194,32,1,1,0.02,0.037037037037037,50.0,27.0
0,2019-10-26,Phoenix Suns,Los Angeles Clippers,239.5,6.5,-3000,1100,252,8,1,2,0.0333333333333333,0.0909090909090909,30.0,11.0
0,2019-10-27,Oklahoma City Thunder,Golden State Warriors,212.5,25.5,-20000,9000,212,28,2,3,0.005,0.0111111111111111,200.0,90.0
0,2019-10-27,Memphis Grizzlies,Brooklyn Nets,245.5,-5.5,130,-160,267,1,2,2,0.7692307692307692,0.625,1.3,1.6
0,2019-10-27,Minnesota Timberwolves,Miami Heat,217.5,0.5,-105,-115,225,7,2,1,0.9523809523809524,0.8695652173913044,1.05,1.15
0,2019-10-27,Dallas Mavericks,Portland Trail Blazers,247.5,0.5,-170,140,240,-2,2,2,0.5882352941176471,0.7142857142857143,1.7,1.4
0,2019-10-27,Los Angeles Lakers,Charlotte Hornets,218.5,16.5,-1250,700,221,19,2,2,0.08,0.1428571428571428,12.5,7.0
0,2019-10-28,Detroit Pistons,Indiana Pacers,196.5,1.5,-125,100,190,2,2,2,0.8,1.0,1.25,1.0
0,2019-10-28,New York Knicks,Chicago Bulls,204.5,-5.5,360,-490,203,7,2,2,0.2777777777777778,0.2040816326530612,3.6,4.9
0,2019-10-28,Atlanta Hawks,Philadelphia 76ers,214.5,-1.5,280,-370,208,-2,2,2,0.3571428571428571,0.2702702702702702,2.8,3.7000000000000006
0,2019-10-28,Toronto Raptors,Orlando Magic,197.5,3.5,-3000,1000,199,9,2,2,0.0333333333333333,0.1,30.0,10.0
0,2019-10-28,Milwaukee Bucks,Cleveland Cavaliers,229.5,8.5,-50000,10000,241,17,2,2,0.002,0.01,500.0,100.0
0,2019-10-28,Houston Rockets,Oklahoma City Thunder,215.5,2.5,-310,240,228,4,2,1,0.3225806451612903,0.4166666666666667,3.1,2.4
0,2019-10-28,New Orleans Pelicans,Golden State Warriors,247.5,-22.5,5000,-20000,257,-11,2,1,0.02,0.005,50.0,200.0
