date,weekday,home_team,home_score,away_team,away_score,attendance,overtime,remarks,Home_Starter_MP,Home_Starter_FG,Home_Starter_FGA,Home_Starter_FG_PCT,Home_Starter_FG3,Home_Starter_FG3A,Home_Starter_FG3_PCT,Home_Starter_FT,Home_Starter_FTA,Home_Starter_FT_PCT,Home_Starter_ORB,Home_Starter_DRB,Home_Starter_TRB,Home_Starter_AST,Home_Starter_STL,Home_Starter_BLK,Home_Starter_TOV,Home_Starter_PF,Home_Starter_PTS,Home_Starter_PLUS_MINUS,Home_Reserve_MP,Home_Reserve_FG,Home_Reserve_FGA,Home_Reserve_FG_PCT,Home_Reserve_FG3,Home_Reserve_FG3A,Home_Reserve_FG3_PCT,Home_Reserve_FT,Home_Reserve_FTA,Home_Reserve_FT_PCT,Home_Reserve_ORB,Home_Reserve_DRB,Home_Reserve_TRB,Home_Reserve_AST,Home_Reserve_STL,Home_Reserve_BLK,Home_Reserve_TOV,Home_Reserve_PF,Home_Reserve_PTS,Home_Reserve_PLUS_MINUS,Away_Starter_MP,Away_Starter_FG,Away_Starter_FGA,Away_Starter_FG_PCT,Away_Starter_FG3,Away_Starter_FG3A,Away_Starter_FG3_PCT,Away_Starter_FT,Away_Starter_FTA,Away_Starter_FT_PCT,Away_Starter_ORB,Away_Starter_DRB,Away_Starter_TRB,Away_Starter_AST,Away_Starter_STL,Away_Starter_BLK,Away_Starter_TOV,Away_Starter_PF,Away_Starter_PTS,Away_Starter_PLUS_MINUS,Away_Reserve_MP,Away_Reserve_FG,Away_Reserve_FGA,Away_Reserve_FG_PCT,Away_Reserve_FG3,Away_Reserve_FG3A,Away_Reserve_FG3_PCT,Away_Reserve_FT,Away_Reserve_FTA,Away_Reserve_FT_PCT,Away_Reserve_ORB,Away_Reserve_DRB,Away_Reserve_TRB,Away_Reserve_AST,Away_Reserve_STL,Away_Reserve_BLK,Away_Reserve_TOV,Away_Reserve_PF,Away_Reserve_PTS,Away_Reserve_PLUS_MINUS
2022-10-19T20:00:00,Wednesday,San Antonio Spurs,102,Charlotte Hornets,129,19156,,,27.246666666666663,5.0,12.2,0.4168,0.8,3.8,0.1858,1.8,2.8,0.425,2.2,4.2,6.4,2.8,1.2,0.4,1.4,2.0,12.6,-11.2,12.454166666666666,1.875,4.75,0.48,0.375,1.875,0.1125,0.75,0.875,0.3125,0.375,1.125,1.5,1.0,0.25,0.75,1.0,1.125,4.875,-9.875,26.43333333333333,6.6,12.2,0.542,1.8,3.6,0.3807999999999999,2.2,2.4,0.5334,1.2,4.6,5.8,3.6,0.8,1.0,2.2,2.4,17.2,19.2,10.471666666666668,1.5,3.3,0.2652,0.4,1.1,0.25,0.9,1.1,0.2714,0.8,1.4,2.2,0.8,0.3,0.5,0.4,0.8,4.3,3.9
2022-10-19T21:00:00,Wednesday,Utah Jazz,123,Denver Nuggets,102,19156,,,25.62,3.6,7.6,0.5115999999999999,1.6,3.6,0.3692,2.2,2.6,0.65,1.2,3.4,4.6,3.8,1.0,0.2,3.0,2.8,11.0,3.6,11.861111111111107,2.6666666666666665,5.0,0.4224444444444444,0.8888888888888888,2.2222222222222223,0.1388888888888889,1.3333333333333333,2.0,0.3008888888888889,0.5555555555555556,1.6666666666666667,2.2222222222222223,0.8888888888888888,0.5555555555555556,0.0,0.4444444444444444,0.7777777777777778,7.555555555555555,9.666666666666666,32.53333333333334,6.4,12.0,0.4358000000000001,0.8,3.0,0.2166,2.0,2.2,0.95,1.8,3.6,5.4,3.2,1.8,0.4,2.4,2.2,15.6,-5.4,7.32,0.8,2.3,0.1204,0.1,0.7,0.025,0.7,0.7,0.3,0.1,0.7,0.8,0.5,0.1,0.1,0.9,1.2,2.4,-7.8
2022-10-19T22:00:00,Wednesday,Phoenix Suns,107,Dallas Mavericks,105,19156,,,34.16,6.0,12.0,0.4711999999999999,0.8,2.2,0.3,3.2,3.6,0.6834,1.0,5.2,6.2,4.2,0.6,0.8,1.6,3.2,16.0,7.6,9.585714285714284,1.4285714285714286,3.571428571428572,0.3327142857142857,0.5714285714285714,1.5714285714285714,0.1571428571428571,0.4285714285714285,0.5714285714285714,0.1071428571428571,0.4285714285714285,0.8571428571428571,1.2857142857142858,0.5714285714285714,0.1428571428571428,0.1428571428571428,0.5714285714285714,1.8571428571428568,3.857142857142857,-4.0,29.279999999999998,4.4,9.4,0.4626,1.8,4.4,0.38,3.0,4.0,0.45,0.2,4.0,4.2,2.2,0.8,0.2,1.6,3.0,13.6,-8.0,23.383333333333333,3.25,7.0,0.30825,1.25,3.25,0.1927499999999999,1.5,3.5,0.45,1.0,3.75,4.75,1.5,0.5,0.75,1.0,1.75,9.25,7.5
2022-10-19T22:00:00,Wednesday,Sacramento Kings,108,Portland Trail Blazers,115,19156,,,28.87333333333333,5.8,10.4,0.4476,2.2,4.4,0.2446,1.8,3.0,0.4599999999999999,0.4,4.4,4.8,3.8,0.8,0.4,2.6,3.6,15.6,2.8,18.910000000000004,2.0,6.6,0.421,1.2,4.4,0.2172,0.8,0.8,0.2,0.4,3.0,3.4,1.6,0.8,0.6,0.4,1.4,6.0,-9.8,34.36333333333333,6.0,14.2,0.4404,1.4,4.2,0.285,5.0,5.8,0.8538,1.4,4.4,5.8,3.4,1.8,0.0,2.2,2.0,18.4,-0.6,17.02916666666667,2.25,4.25,0.30575,1.0,1.75,0.375,0.25,1.0,0.125,1.0,2.75,3.75,0.75,0.5,0.5,0.0,1.75,5.75,9.5
2022-10-20T19:30:00,Thursday,Philadelphia 76ers,88,Milwaukee Bucks,90,19156,,,37.00666666666667,6.0,14.2,0.4046,0.8,3.8,0.2452,2.2,2.6,0.6834,1.2,6.2,7.4,3.0,1.0,1.0,1.8,2.6,15.0,-2.8,9.15,1.0,2.0,0.1785,0.1666666666666666,0.8333333333333334,0.0833333333333333,0.0,0.0,0.0,0.0,1.1666666666666667,1.1666666666666667,0.3333333333333333,0.1666666666666666,0.0,0.1666666666666666,0.1666666666666666,2.1666666666666665,0.6666666666666666,31.51666666666667,4.4,12.0,0.4076000000000001,1.6,5.8,0.2997999999999999,1.8,2.8,0.5399999999999999,0.6,5.0,5.6,4.4,0.8,1.0,1.6,2.0,12.2,1.8,16.266666666666666,2.4,4.8,0.48,1.0,2.6,0.25,0.0,0.0,0.0,0.8,3.2,4.0,0.4,0.0,0.2,0.8,1.2,5.8,0.2
2022-10-20T22:00:00,Thursday,Los Angeles Lakers,97,Los Angeles Clippers,103,19156,,,33.14333333333333,5.2,14.4,0.3094,1.4,6.6,0.2278,3.8,4.6,0.8762000000000001,1.2,4.0,5.2,2.8,2.4,0.8,1.6,3.0,15.6,0.2,14.64,1.4,4.4,0.3858,0.4,2.4,0.15,0.6,0.6,0.4,0.4,2.0,2.4,1.8,0.2,0.2,0.4,1.8,3.8,-6.2,27.856666666666666,4.0,8.8,0.4944,1.0,3.2,0.257,3.0,4.4,0.6808,1.6,5.6,7.2,2.0,1.0,1.0,3.4,2.4,12.0,7.4,16.605555555555554,2.833333333333333,6.0,0.2723333333333333,0.6666666666666666,2.1666666666666665,0.2083333333333333,0.8333333333333334,1.5,0.3888333333333333,0.3333333333333333,3.333333333333333,3.6666666666666665,1.3333333333333333,0.3333333333333333,0.3333333333333333,0.8333333333333334,2.0,7.166666666666667,-1.1666666666666667
2022-10-21T19:00:00,Friday,Indiana Pacers,134,San Antonio Spurs,137,19156,,,19.316666666666663,4.2,8.6,0.4586,1.0,3.0,0.24,1.6,1.6,0.2,1.0,2.6,3.6,3.6,0.6,0.4,1.8,3.2,11.0,-8.4,20.333333333333336,4.285714285714286,8.714285714285714,0.4711428571428571,0.8571428571428571,2.857142857142857,0.1598571428571428,1.8571428571428568,2.0,0.4107142857142857,1.2857142857142858,2.142857142857143,3.4285714285714284,2.0,0.7142857142857143,0.5714285714285714,1.0,2.571428571428572,11.285714285714286,3.857142857142857,30.5,5.4,10.4,0.5334000000000001,1.8,4.0,0.2695999999999999,5.2,7.4,0.607,0.8,4.2,5.0,4.0,1.2,0.2,1.6,2.6,17.8,2.2,17.486666666666665,3.4,5.8,0.548,1.6,2.2,0.55,1.2,1.4,0.3,0.6,1.8,2.4,2.8,0.6,0.6,1.8,1.8,9.6,0.8
2022-10-21T19:00:00,Friday,Washington Wizards,102,Chicago Bulls,100,19156,,,29.686666666666667,5.8,11.0,0.521,2.0,4.0,0.5466,1.2,1.4,0.1714,0.2,4.6,4.8,3.8,0.6,1.2,1.6,2.8,14.8,9.6,17.893333333333334,2.4,5.0,0.6638,0.0,1.2,0.0,0.8,0.8,0.2,0.8,2.2,3.0,1.4,1.0,0.4,1.6,1.6,5.6,-7.6,30.296666666666663,4.4,11.0,0.3636,0.8,3.6,0.1738,5.0,5.4,0.6818,1.0,3.6,4.6,2.0,1.0,0.4,1.8,1.2,14.6,-11.8,22.1125,2.75,6.0,0.427,0.75,2.25,0.20825,0.5,1.5,0.125,1.25,2.5,3.75,2.25,0.75,0.25,1.0,2.25,6.75,12.25
2022-10-21T19:00:00,Friday,Charlotte Hornets,112,New Orleans Pelicans,124,19156,,,30.5,6.6,14.8,0.4987999999999999,1.4,4.8,0.2666,1.8,2.4,0.375,2.0,2.4,4.4,4.8,1.4,0.6,2.0,3.4,16.4,-12.0,22.1125,2.75,5.75,0.44625,1.5,2.5,0.41675,0.5,0.5,0.25,0.25,3.5,3.75,1.5,0.5,0.25,0.75,1.75,7.5,0.0,32.12666666666666,6.8,13.2,0.5582,0.8,2.0,0.3332,6.0,6.6,0.8858,1.8,6.0,7.8,3.6,1.0,0.8,2.4,1.6,20.4,17.2,12.708333333333334,1.3333333333333333,3.8333333333333335,0.3193333333333333,0.6666666666666666,2.0,0.1638333333333333,0.3333333333333333,0.6666666666666666,0.1666666666666666,1.0,1.3333333333333333,2.333333333333333,0.8333333333333334,0.6666666666666666,0.5,0.5,1.0,3.6666666666666665,-4.333333333333333
2022-10-21T19:30:00,Friday,Atlanta Hawks,108,Orlando Magic,98,19156,,,35.583333333333336,6.6,14.4,0.5038,2.0,4.6,0.3694,2.4,2.4,0.8,1.2,6.6,7.8,4.6,1.8,0.4,3.2,2.6,17.6,12.0,15.504166666666666,1.75,4.25,0.448,0.75,2.0,0.125,0.75,1.0,0.375,0.75,1.0,1.75,0.75,0.25,0.0,0.25,2.25,5.0,-2.5,30.5,3.8,10.8,0.3482,0.4,4.6,0.0834,3.2,4.0,0.613,1.6,5.0,6.6,2.0,1.6,0.8,2.6,3.0,11.2,-8.8,14.233333333333334,2.333333333333333,4.333333333333333,0.4166666666666667,1.0,1.8333333333333333,0.2721666666666666,1.3333333333333333,1.6666666666666667,0.4523333333333333,0.3333333333333333,1.5,1.8333333333333333,1.0,0.1666666666666666,0.5,1.0,0.6666666666666666,7.0,-1.0
