date,team,player,role,MP,FG,FGA,FG_PCT,FG3,FG3A,FG3_PCT,FT,FTA,FT_PCT,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS
2023-10-24T19:30:00,Los Angeles Lakers Basic and Advanced Stats Table,D'Angelo Russell,Starter,36.6,4,12,0.333,2,5,0.4,1,2,0.5,0,4,4,7,1,0,3,3,11,1.0
2023-10-24T19:30:00,Denver Nuggets Basic and Advanced Stats Table,Braxton Key,Reserve,0.0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0
2023-10-24T19:30:00,Denver Nuggets Basic and Advanced Stats Table,Collin Gillespie,Reserve,0.0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0
2023-10-24T19:30:00,Denver Nuggets Basic and Advanced Stats Table,Jalen Pickett,Reserve,0.0,1,1,1.0,0,0,,0,0,,0,0,0,0,0,0,0,0,2,0.0
2023-10-24T19:30:00,Denver Nuggets Basic and Advanced Stats Table,Peyton Watson,Reserve,10.166666666666666,1,3,0.333,1,3,0.333,0,0,,0,0,0,0,0,1,1,1,3,1.0
2023-10-24T19:30:00,Denver Nuggets Basic and Advanced Stats Table,Zeke Nnaji,Reserve,11.183333333333334,1,3,0.333,0,1,0.0,2,2,1.0,0,0,0,1,0,0,1,2,4,-3.0
2023-10-24T19:30:00,Denver Nuggets Basic and Advanced Stats Table,Christian Braun,Reserve,19.316666666666663,2,5,0.4,0,1,0.0,1,2,0.5,1,2,3,2,0,1,1,1,5,5.0
2023-10-24T19:30:00,Denver Nuggets Basic and Advanced Stats Table,Reggie Jackson,Reserve,24.4,3,8,0.375,2,5,0.4,0,0,,0,3,3,1,1,0,2,0,8,11.0
2023-10-24T19:30:00,Denver Nuggets Basic and Advanced Stats Table,Jamal Murray,Starter,34.56666666666667,8,13,0.615,3,5,0.6,2,2,1.0,0,2,2,6,0,1,1,3,21,3.0
2023-10-24T19:30:00,Denver Nuggets Basic and Advanced Stats Table,Aaron Gordon,Starter,34.56666666666667,7,11,0.636,1,2,0.5,0,0,,2,5,7,5,2,1,0,0,15,6.0
2023-10-24T19:30:00,Denver Nuggets Basic and Advanced Stats Table,Kentavious Caldwell-Pope,Starter,36.6,8,12,0.667,2,3,0.667,2,2,1.0,1,1,2,1,3,1,3,5,20,10.0
2023-10-24T19:30:00,Denver Nuggets Basic and Advanced Stats Table,Nikola Jokić,Starter,36.6,12,22,0.545,3,5,0.6,2,4,0.5,3,10,13,11,1,1,2,2,29,15.0
2023-10-24T19:30:00,Denver Nuggets Basic and Advanced Stats Table,Michael Porter Jr.,Starter,30.5,5,13,0.385,2,9,0.222,0,0,,2,10,12,2,2,0,0,1,12,12.0
2023-10-24T19:30:00,Los Angeles Lakers Basic and Advanced Stats Table,Max Christie,Reserve,1.0166666666666666,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0
2023-10-24T19:30:00,Los Angeles Lakers Basic and Advanced Stats Table,Maxwell Lewis,Reserve,1.0166666666666666,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0
2023-10-24T19:30:00,Los Angeles Lakers Basic and Advanced Stats Table,Austin Reaves,Starter,31.516666666666666,4,11,0.364,1,2,0.5,5,7,0.714,4,4,8,4,2,0,2,2,14,-14.0
2023-10-24T19:30:00,Los Angeles Lakers Basic and Advanced Stats Table,Taurean Prince,Starter,29.48333333333333,6,8,0.75,4,6,0.667,2,2,1.0,1,2,3,1,0,1,1,0,18,-14.0
2023-10-24T19:30:00,Los Angeles Lakers Basic and Advanced Stats Table,LeBron James,Starter,29.48333333333333,10,16,0.625,1,4,0.25,0,1,0.0,1,7,8,5,1,0,0,1,21,7.0
2023-10-24T19:30:00,Los Angeles Lakers Basic and Advanced Stats Table,Gabe Vincent,Reserve,22.366666666666667,3,8,0.375,0,4,0.0,0,0,,1,0,1,2,1,0,2,3,6,-17.0
2023-10-24T19:30:00,Los Angeles Lakers Basic and Advanced Stats Table,Anthony Davis,Starter,34.56666666666667,6,17,0.353,1,2,0.5,4,4,1.0,1,7,8,4,0,2,2,3,17,-17.0
2023-10-24T19:30:00,Los Angeles Lakers Basic and Advanced Stats Table,Christian Wood,Reserve,15.25,3,4,0.75,0,1,0.0,1,2,0.5,1,3,4,0,0,0,1,1,7,2.0
2023-10-24T19:30:00,Los Angeles Lakers Basic and Advanced Stats Table,Rui Hachimura,Reserve,14.233333333333333,3,10,0.3,0,3,0.0,0,0,,2,1,3,0,0,0,0,2,6,-8.0
2023-10-24T19:30:00,Los Angeles Lakers Basic and Advanced Stats Table,Jaxson Hayes,Reserve,6.1,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-7.0
2023-10-24T19:30:00,Los Angeles Lakers Basic and Advanced Stats Table,Cam Reddish,Reserve,17.283333333333335,2,4,0.5,1,2,0.5,2,2,1.0,2,2,4,0,0,1,0,2,7,7.0
2023-10-24T22:00:00,Golden State Warriors Basic and Advanced Stats Table,Chris Paul,Starter,34.56666666666667,4,15,0.267,0,6,0.0,6,7,0.857,1,5,6,9,2,0,1,0,14,5.0
2023-10-24T22:00:00,Golden State Warriors Basic and Advanced Stats Table,Cory Joseph,Reserve,3.05,0,0,,0,0,,0,0,,1,0,1,1,0,0,0,0,0,-12.0
2023-10-24T22:00:00,Golden State Warriors Basic and Advanced Stats Table,Moses Moody,Reserve,17.283333333333335,4,6,0.667,2,4,0.5,1,2,0.5,1,2,3,0,3,1,1,1,11,-6.0
