date,weekday,home_team,home_score,away_team,away_score,attendance,overtime,remarks
2020-12-22T19:00:00,Tuesday,Brooklyn Nets,125,Golden State Warriors,99,0,,
2020-12-22T22:00:00,Tuesday,Los Angeles Lakers,109,Los Angeles Clippers,116,0,,
2020-12-23T19:00:00,Wednesday,Cleveland Cavaliers,121,Charlotte Hornets,114,0,,
2020-12-23T19:00:00,Wednesday,Indiana Pacers,121,New York Knicks,107,0,,
2020-12-23T19:00:00,Wednesday,Orlando Magic,113,Miami Heat,107,0,,
2020-12-23T19:00:00,Wednesday,Philadelphia 76ers,113,Washington Wizards,107,0,,
2020-12-23T19:30:00,Wednesday,Toronto Raptors,99,New Orleans Pelicans,113,0,,
2020-12-23T19:30:00,Wednesday,Boston Celtics,122,Milwaukee Bucks,121,0,,
2020-12-23T20:00:00,Wednesday,Minnesota Timberwolves,111,Detroit Pistons,101,0,,
2020-12-23T20:00:00,Wednesday,Chicago Bulls,104,Atlanta Hawks,124,0,,
2020-12-23T20:00:00,Wednesday,Memphis Grizzlies,119,San Antonio Spurs,131,0,,
2020-12-23T21:00:00,Wednesday,Denver Nuggets,122,Sacramento Kings,124,0,OT,
2020-12-23T22:00:00,Wednesday,Portland Trail Blazers,100,Utah Jazz,120,0,,
2020-12-23T22:30:00,Wednesday,Phoenix Suns,106,Dallas Mavericks,102,0,,
2020-12-25T12:00:00,Friday,Miami Heat,111,New Orleans Pelicans,98,0,,
2020-12-25T14:30:00,Friday,Milwaukee Bucks,138,Golden State Warriors,99,0,,
2020-12-25T17:00:00,Friday,Boston Celtics,95,Brooklyn Nets,123,0,,
2020-12-25T20:00:00,Friday,Los Angeles Lakers,138,Dallas Mavericks,115,0,,
2020-12-25T22:30:00,Friday,Denver Nuggets,108,Los Angeles Clippers,121,0,,
2020-12-26T17:00:00,Saturday,Memphis Grizzlies,112,Atlanta Hawks,122,0,,
2020-12-26T19:00:00,Saturday,Charlotte Hornets,107,Oklahoma City Thunder,109,0,,
2020-12-26T19:00:00,Saturday,Detroit Pistons,119,Cleveland Cavaliers,128,0,2OT,
2020-12-26T19:00:00,Saturday,Washington Wizards,120,Orlando Magic,130,0,,
2020-12-26T19:30:00,Saturday,New York Knicks,89,Philadelphia 76ers,109,0,,
2020-12-26T20:00:00,Saturday,Chicago Bulls,106,Indiana Pacers,125,0,,
2020-12-26T20:30:00,Saturday,San Antonio Spurs,119,Toronto Raptors,114,0,,
2020-12-26T21:00:00,Saturday,Utah Jazz,111,Minnesota Timberwolves,116,0,,
2020-12-26T22:00:00,Saturday,Portland Trail Blazers,128,Houston Rockets,126,0,OT,
2020-12-26T22:00:00,Saturday,Sacramento Kings,106,Phoenix Suns,103,0,,
2020-12-27T15:30:00,Sunday,Los Angeles Clippers,73,Dallas Mavericks,124,0,,
2020-12-27T19:00:00,Sunday,New Orleans Pelicans,98,San Antonio Spurs,95,0,,
2020-12-27T19:00:00,Sunday,Washington Wizards,113,Orlando Magic,120,0,,
2020-12-27T19:00:00,Sunday,Charlotte Hornets,106,Brooklyn Nets,104,0,,
2020-12-27T19:30:00,Sunday,Cleveland Cavaliers,118,Philadelphia 76ers,94,0,,
2020-12-27T19:30:00,Sunday,New York Knicks,130,Milwaukee Bucks,110,0,,
2020-12-27T20:00:00,Sunday,Chicago Bulls,128,Golden State Warriors,129,0,,
2020-12-27T20:00:00,Sunday,Indiana Pacers,108,Boston Celtics,107,0,,
2020-12-27T21:00:00,Sunday,Sacramento Kings,100,Phoenix Suns,116,0,,
2020-12-27T22:00:00,Sunday,Los Angeles Lakers,127,Minnesota Timberwolves,91,0,,
2020-12-28T19:30:00,Monday,Brooklyn Nets,111,Memphis Grizzlies,116,0,OT,
2020-12-28T19:30:00,Monday,Atlanta Hawks,128,Detroit Pistons,120,0,,
2020-12-28T20:00:00,Monday,Oklahoma City Thunder,109,Utah Jazz,110,0,,
2020-12-28T21:00:00,Monday,Denver Nuggets,124,Houston Rockets,111,0,,
2020-12-28T22:00:00,Monday,Los Angeles Lakers,107,Portland Trail Blazers,115,0,,
2020-12-29T19:00:00,Tuesday,Philadelphia 76ers,100,Toronto Raptors,93,0,,
2020-12-29T19:00:00,Tuesday,Washington Wizards,107,Chicago Bulls,115,0,,
2020-12-29T19:00:00,Tuesday,Detroit Pistons,106,Golden State Warriors,116,0,,
2020-12-29T19:00:00,Tuesday,Cleveland Cavaliers,86,New York Knicks,95,0,,
2020-12-29T19:00:00,Tuesday,Indiana Pacers,111,Boston Celtics,116,0,,
2020-12-29T19:30:00,Tuesday,Miami Heat,97,Milwaukee Bucks,144,0,,
2020-12-29T20:00:00,Tuesday,Oklahoma City Thunder,107,Orlando Magic,118,0,,
2020-12-29T22:00:00,Tuesday,Los Angeles Clippers,124,Minnesota Timberwolves,101,0,,
2020-12-29T22:00:00,Tuesday,Phoenix Suns,111,New Orleans Pelicans,86,0,,
2020-12-29T22:00:00,Tuesday,Sacramento Kings,125,Denver Nuggets,115,0,,
2020-12-30T19:30:00,Wednesday,Boston Celtics,126,Memphis Grizzlies,107,0,,
2020-12-30T19:30:00,Wednesday,Miami Heat,119,Milwaukee Bucks,108,0,,
2020-12-30T19:30:00,Wednesday,Brooklyn Nets,145,Atlanta Hawks,141,0,,
2020-12-30T20:30:00,Wednesday,Dallas Mavericks,99,Charlotte Hornets,118,0,,
2020-12-30T20:30:00,Wednesday,San Antonio Spurs,107,Los Angeles Lakers,121,0,,
2020-12-30T22:00:00,Wednesday,Los Angeles Clippers,128,Portland Trail Blazers,105,0,,
2020-12-31T15:00:00,Thursday,Indiana Pacers,119,Cleveland Cavaliers,99,0,,
2020-12-31T17:00:00,Thursday,Washington Wizards,130,Chicago Bulls,133,0,,
2020-12-31T18:30:00,Thursday,Orlando Magic,92,Philadelphia 76ers,116,0,,
2020-12-31T19:00:00,Thursday,Houston Rockets,122,Sacramento Kings,119,0,,
2020-12-31T19:30:00,Thursday,Toronto Raptors,100,New York Knicks,83,0,,
2020-12-31T20:00:00,Thursday,Oklahoma City Thunder,80,New Orleans Pelicans,113,0,,
2020-12-31T21:00:00,Thursday,Utah Jazz,95,Phoenix Suns,106,0,,
2021-01-01T19:00:00,Friday,Charlotte Hornets,93,Memphis Grizzlies,108,0,,
2021-01-01T19:00:00,Friday,Dallas Mavericks,93,Miami Heat,83,0,,
2021-01-01T19:00:00,Friday,Detroit Pistons,96,Boston Celtics,93,0,,
2021-01-01T19:30:00,Friday,Brooklyn Nets,96,Atlanta Hawks,114,0,,
2021-01-01T20:00:00,Friday,Minnesota Timberwolves,109,Washington Wizards,130,0,,
2021-01-01T20:00:00,Friday,San Antonio Spurs,103,Los Angeles Lakers,109,0,,
2021-01-01T20:00:00,Friday,Milwaukee Bucks,126,Chicago Bulls,96,0,,
2021-01-01T21:00:00,Friday,Denver Nuggets,103,Phoenix Suns,106,0,,
2021-01-01T21:00:00,Friday,Utah Jazz,106,Los Angeles Clippers,100,0,,
2021-01-01T22:30:00,Friday,Golden State Warriors,98,Portland Trail Blazers,123,0,,
2021-01-02T17:00:00,Saturday,Houston Rockets,102,Sacramento Kings,94,0,,
2021-01-02T19:00:00,Saturday,Indiana Pacers,102,New York Knicks,106,0,,
2021-01-02T19:00:00,Saturday,Orlando Magic,99,Oklahoma City Thunder,108,0,,
2021-01-02T19:00:00,Saturday,Philadelphia 76ers,127,Charlotte Hornets,112,0,,
2021-01-02T19:30:00,Saturday,New Orleans Pelicans,120,Toronto Raptors,116,0,,
2021-01-02T19:30:00,Saturday,Atlanta Hawks,91,Cleveland Cavaliers,96,0,,
2021-01-03T15:00:00,Sunday,Detroit Pistons,120,Boston Celtics,122,0,,
2021-01-03T18:00:00,Sunday,Brooklyn Nets,122,Washington Wizards,123,0,,
2021-01-03T18:00:00,Sunday,Memphis Grizzlies,94,Los Angeles Lakers,108,0,,
2021-01-03T19:00:00,Sunday,Minnesota Timberwolves,109,Denver Nuggets,124,0,,
2021-01-03T19:00:00,Sunday,San Antonio Spurs,109,Utah Jazz,130,0,,
2021-01-03T20:00:00,Sunday,Chicago Bulls,118,Dallas Mavericks,108,0,,
2021-01-03T20:00:00,Sunday,Phoenix Suns,107,Los Angeles Clippers,112,0,,
2021-01-03T20:30:00,Sunday,Golden State Warriors,137,Portland Trail Blazers,122,0,,
2021-01-04T19:00:00,Monday,Orlando Magic,103,Cleveland Cavaliers,83,0,,
2021-01-04T19:00:00,Monday,Philadelphia 76ers,118,Charlotte Hornets,101,0,,
2021-01-04T19:30:00,Monday,Atlanta Hawks,108,New York Knicks,113,0,,
2021-01-04T19:30:00,Monday,Miami Heat,118,Oklahoma City Thunder,90,0,,
2021-01-04T19:30:00,Monday,Toronto Raptors,114,Boston Celtics,126,0,,
2021-01-04T20:00:00,Monday,Houston Rockets,100,Dallas Mavericks,113,0,,
2021-01-04T20:00:00,Monday,Milwaukee Bucks,125,Detroit Pistons,115,0,,
2021-01-04T20:00:00,Monday,New Orleans Pelicans,116,Indiana Pacers,118,0,OT,
2021-01-04T22:00:00,Monday,Golden State Warriors,137,Sacramento Kings,106,0,,
2021-01-05T19:30:00,Tuesday,Brooklyn Nets,130,Utah Jazz,96,0,,
2021-01-05T20:00:00,Tuesday,Memphis Grizzlies,92,Los Angeles Lakers,94,0,,
2021-01-05T21:00:00,Tuesday,Denver Nuggets,123,Minnesota Timberwolves,116,0,,
2021-01-05T22:00:00,Tuesday,Los Angeles Clippers,113,San Antonio Spurs,116,0,,
2021-01-05T22:30:00,Tuesday,Portland Trail Blazers,108,Chicago Bulls,111,0,,
2021-01-06T19:00:00,Wednesday,Indiana Pacers,114,Houston Rockets,107,0,,
2021-01-06T19:00:00,Wednesday,Orlando Magic,105,Cleveland Cavaliers,94,0,,
2021-01-06T19:00:00,Wednesday,Philadelphia 76ers,141,Washington Wizards,136,0,,
2021-01-06T19:30:00,Wednesday,New York Knicks,112,Utah Jazz,100,0,,
2021-01-06T19:30:00,Wednesday,Miami Heat,105,Boston Celtics,107,0,,
2021-01-06T19:30:00,Wednesday,Atlanta Hawks,94,Charlotte Hornets,102,0,,
2021-01-06T20:00:00,Wednesday,Milwaukee Bucks,130,Detroit Pistons,115,0,,
2021-01-06T20:00:00,Wednesday,New Orleans Pelicans,110,Oklahoma City Thunder,111,0,,
2021-01-06T21:00:00,Wednesday,Phoenix Suns,123,Toronto Raptors,115,0,,
2021-01-06T22:00:00,Wednesday,Golden State Warriors,101,Los Angeles Clippers,108,0,,
2021-01-06T22:00:00,Wednesday,Sacramento Kings,128,Chicago Bulls,124,0,,
2021-01-07T19:30:00,Thursday,Brooklyn Nets,122,Philadelphia 76ers,109,0,,
2021-01-07T20:00:00,Thursday,Memphis Grizzlies,90,Cleveland Cavaliers,94,0,,
2021-01-07T22:00:00,Thursday,Denver Nuggets,117,Dallas Mavericks,124,0,OT,
2021-01-07T22:00:00,Thursday,Los Angeles Lakers,109,San Antonio Spurs,118,0,,
2021-01-07T22:00:00,Thursday,Portland Trail Blazers,135,Minnesota Timberwolves,117,0,,
2021-01-08T19:00:00,Friday,Detroit Pistons,110,Phoenix Suns,105,0,OT,
2021-01-08T19:30:00,Friday,Boston Celtics,116,Washington Wizards,107,0,,
2021-01-08T19:30:00,Friday,New Orleans Pelicans,110,Charlotte Hornets,118,0,,
2021-01-08T19:30:00,Friday,New York Knicks,89,Oklahoma City Thunder,101,0,,
2021-01-08T20:00:00,Friday,Memphis Grizzlies,115,Brooklyn Nets,110,0,,
2021-01-08T20:00:00,Friday,Milwaukee Bucks,118,Utah Jazz,131,0,,
2021-01-08T20:00:00,Friday,Houston Rockets,132,Orlando Magic,90,0,,
2021-01-08T22:00:00,Friday,Golden State Warriors,115,Los Angeles Clippers,105,0,,
