date,weekday,home_team,home_score,away_team,away_score,attendance,overtime,remarks
2021-10-19T19:30:00,Tuesday,Milwaukee Bucks,127,Brooklyn Nets,104,17341,,
2021-10-19T22:00:00,Tuesday,Los Angeles Lakers,114,Golden State Warriors,121,17341,,
2021-10-20T19:00:00,Wednesday,Charlotte Hornets,123,Indiana Pacers,122,17341,,
2021-10-20T19:00:00,Wednesday,Detroit Pistons,88,Chicago Bulls,94,17341,,
2021-10-20T19:30:00,Wednesday,New York Knicks,138,Boston Celtics,134,17341,2OT,
2021-10-20T19:30:00,Wednesday,Toronto Raptors,83,Washington Wizards,98,17341,,
2021-10-20T20:00:00,Wednesday,Memphis Grizzlies,132,Cleveland Cavaliers,121,17341,,
2021-10-20T20:00:00,Wednesday,Minnesota Timberwolves,124,Houston Rockets,106,17341,,
2021-10-20T20:00:00,Wednesday,New Orleans Pelicans,97,Philadelphia 76ers,117,17341,,
2021-10-20T20:30:00,Wednesday,San Antonio Spurs,123,Orlando Magic,97,17341,,
2021-10-20T21:00:00,Wednesday,Utah Jazz,107,Oklahoma City Thunder,86,17341,,
2021-10-20T22:00:00,Wednesday,Portland Trail Blazers,121,Sacramento Kings,124,17341,,
2021-10-20T22:00:00,Wednesday,Phoenix Suns,98,Denver Nuggets,110,17341,,
2021-10-21T19:30:00,Thursday,Atlanta Hawks,113,Dallas Mavericks,87,17341,,
2021-10-21T20:00:00,Thursday,Miami Heat,137,Milwaukee Bucks,95,17341,,
2021-10-21T22:00:00,Thursday,Golden State Warriors,115,Los Angeles Clippers,113,17341,,
2021-10-22T19:00:00,Friday,Orlando Magic,96,New York Knicks,121,17341,,
2021-10-22T19:00:00,Friday,Washington Wizards,135,Indiana Pacers,134,17341,OT,
2021-10-22T19:00:00,Friday,Cleveland Cavaliers,112,Charlotte Hornets,123,17341,,
2021-10-22T19:30:00,Friday,Philadelphia 76ers,109,Brooklyn Nets,114,17341,,
2021-10-22T19:30:00,Friday,Boston Celtics,83,Toronto Raptors,115,17341,,
2021-10-22T20:00:00,Friday,Houston Rockets,124,Oklahoma City Thunder,91,17341,,
2021-10-22T20:00:00,Friday,Chicago Bulls,128,New Orleans Pelicans,112,17341,,
2021-10-22T21:00:00,Friday,Denver Nuggets,102,San Antonio Spurs,96,17341,,
2021-10-22T22:00:00,Friday,Los Angeles Lakers,105,Phoenix Suns,115,17341,,
2021-10-22T22:00:00,Friday,Sacramento Kings,101,Utah Jazz,110,17341,,
2021-10-23T18:00:00,Saturday,Cleveland Cavaliers,101,Atlanta Hawks,95,17341,,
2021-10-23T19:00:00,Saturday,Indiana Pacers,102,Miami Heat,91,17341,OT,
2021-10-23T19:30:00,Saturday,Toronto Raptors,95,Dallas Mavericks,103,17341,,
2021-10-23T20:00:00,Saturday,Minnesota Timberwolves,96,New Orleans Pelicans,89,17341,,
2021-10-23T20:00:00,Saturday,Chicago Bulls,97,Detroit Pistons,82,17341,,
2021-10-23T20:30:00,Saturday,San Antonio Spurs,111,Milwaukee Bucks,121,17341,,
2021-10-23T22:00:00,Saturday,Portland Trail Blazers,134,Phoenix Suns,105,17341,,
2021-10-23T22:30:00,Saturday,Los Angeles Clippers,114,Memphis Grizzlies,120,17341,,
2021-10-24T16:00:00,Sunday,Brooklyn Nets,95,Charlotte Hornets,111,17341,,
2021-10-24T19:00:00,Sunday,Houston Rockets,97,Boston Celtics,107,17341,,
2021-10-24T19:00:00,Sunday,New York Knicks,104,Orlando Magic,110,17341,,
2021-10-24T19:00:00,Sunday,Oklahoma City Thunder,103,Philadelphia 76ers,115,17341,,
2021-10-24T21:00:00,Sunday,Sacramento Kings,107,Golden State Warriors,119,17341,,
2021-10-24T21:30:00,Sunday,Los Angeles Lakers,121,Memphis Grizzlies,118,17341,,
2021-10-25T19:00:00,Monday,Charlotte Hornets,129,Boston Celtics,140,17341,OT,
2021-10-25T19:00:00,Monday,Indiana Pacers,109,Milwaukee Bucks,119,17341,,
2021-10-25T19:30:00,Monday,Toronto Raptors,108,Chicago Bulls,111,17341,,
2021-10-25T19:30:00,Monday,Miami Heat,107,Orlando Magic,90,17341,,
2021-10-25T19:30:00,Monday,Brooklyn Nets,104,Washington Wizards,90,17341,,
2021-10-25T19:30:00,Monday,Atlanta Hawks,122,Detroit Pistons,104,17341,,
2021-10-25T20:00:00,Monday,Minnesota Timberwolves,98,New Orleans Pelicans,107,17341,,
2021-10-25T21:00:00,Monday,Denver Nuggets,87,Cleveland Cavaliers,99,17341,,
2021-10-25T22:30:00,Monday,Los Angeles Clippers,116,Portland Trail Blazers,86,17341,,
2021-10-26T19:30:00,Tuesday,New York Knicks,112,Philadelphia 76ers,99,17341,,
2021-10-26T20:00:00,Tuesday,Oklahoma City Thunder,98,Golden State Warriors,106,17341,,
2021-10-26T20:30:00,Tuesday,San Antonio Spurs,121,Los Angeles Lakers,125,17341,OT,
2021-10-26T20:30:00,Tuesday,Dallas Mavericks,116,Houston Rockets,106,17341,,
2021-10-26T22:00:00,Tuesday,Utah Jazz,122,Denver Nuggets,110,17341,,
2021-10-27T19:00:00,Wednesday,Orlando Magic,111,Charlotte Hornets,120,17341,,
2021-10-27T19:30:00,Wednesday,Boston Celtics,107,Washington Wizards,116,17341,,
2021-10-27T19:30:00,Wednesday,Brooklyn Nets,93,Miami Heat,106,17341,,
2021-10-27T19:30:00,Wednesday,Toronto Raptors,118,Indiana Pacers,100,17341,,
2021-10-27T19:30:00,Wednesday,New Orleans Pelicans,99,Atlanta Hawks,102,17341,,
2021-10-27T20:00:00,Wednesday,Oklahoma City Thunder,123,Los Angeles Lakers,115,17341,,
2021-10-27T20:00:00,Wednesday,Milwaukee Bucks,108,Minnesota Timberwolves,113,17341,,
2021-10-27T22:00:00,Wednesday,Phoenix Suns,107,Sacramento Kings,110,17341,,
2021-10-27T22:00:00,Wednesday,Portland Trail Blazers,116,Memphis Grizzlies,96,17341,,
2021-10-27T22:30:00,Wednesday,Los Angeles Clippers,79,Cleveland Cavaliers,92,17341,,
2021-10-28T19:00:00,Thursday,Washington Wizards,122,Atlanta Hawks,111,17341,,
2021-10-28T19:00:00,Thursday,Philadelphia 76ers,110,Detroit Pistons,102,17341,,
2021-10-28T20:00:00,Thursday,Houston Rockets,91,Utah Jazz,122,17341,,
2021-10-28T20:00:00,Thursday,Chicago Bulls,103,New York Knicks,104,17341,,
2021-10-28T20:30:00,Thursday,Dallas Mavericks,104,San Antonio Spurs,99,17341,,
2021-10-28T22:00:00,Thursday,Golden State Warriors,101,Memphis Grizzlies,104,17341,OT,
2021-10-29T19:00:00,Friday,Toronto Raptors,110,Orlando Magic,109,17341,,
2021-10-29T19:30:00,Friday,Miami Heat,114,Charlotte Hornets,99,17341,,
2021-10-29T19:30:00,Friday,Brooklyn Nets,105,Indiana Pacers,98,17341,,
2021-10-29T20:00:00,Friday,New Orleans Pelicans,109,Sacramento Kings,113,17341,,
2021-10-29T22:00:00,Friday,Denver Nuggets,106,Dallas Mavericks,75,17341,,
2021-10-29T22:00:00,Friday,Portland Trail Blazers,111,Los Angeles Clippers,92,17341,,
2021-10-29T22:30:00,Friday,Los Angeles Lakers,113,Cleveland Cavaliers,101,17341,,
2021-10-30T17:00:00,Saturday,Washington Wizards,115,Boston Celtics,112,17341,2OT,
2021-10-30T19:00:00,Saturday,Detroit Pistons,110,Orlando Magic,103,17341,,
2021-10-30T19:00:00,Saturday,New Orleans Pelicans,117,New York Knicks,123,17341,,
2021-10-30T19:30:00,Saturday,Philadelphia 76ers,122,Atlanta Hawks,94,17341,,
2021-10-30T19:30:00,Saturday,Indiana Pacers,94,Toronto Raptors,97,17341,,
2021-10-30T20:00:00,Saturday,Chicago Bulls,107,Utah Jazz,99,17341,,
2021-10-30T20:00:00,Saturday,Memphis Grizzlies,103,Miami Heat,129,17341,,
2021-10-30T20:00:00,Saturday,Milwaukee Bucks,93,San Antonio Spurs,102,17341,,
2021-10-30T20:30:00,Saturday,Golden State Warriors,103,Oklahoma City Thunder,82,17341,,
2021-10-30T21:00:00,Saturday,Minnesota Timberwolves,91,Denver Nuggets,93,17341,,
2021-10-30T22:00:00,Saturday,Phoenix Suns,101,Cleveland Cavaliers,92,17341,,
2021-10-31T15:30:00,Sunday,Dallas Mavericks,105,Sacramento Kings,99,17341,,
2021-10-31T19:00:00,Sunday,Milwaukee Bucks,95,Utah Jazz,107,17341,,
2021-10-31T19:00:00,Sunday,Charlotte Hornets,125,Portland Trail Blazers,113,17341,,
2021-10-31T19:30:00,Sunday,Brooklyn Nets,117,Detroit Pistons,91,17341,,
2021-10-31T22:30:00,Sunday,Los Angeles Lakers,95,Houston Rockets,85,17341,,
2021-11-01T19:00:00,Monday,Charlotte Hornets,110,Cleveland Cavaliers,113,13889,,
2021-11-01T19:00:00,Monday,Indiana Pacers,131,San Antonio Spurs,118,13889,,
2021-11-01T19:00:00,Monday,Philadelphia 76ers,113,Portland Trail Blazers,103,13889,,
2021-11-01T19:30:00,Monday,Atlanta Hawks,118,Washington Wizards,111,13889,,
2021-11-01T19:30:00,Monday,Boston Celtics,114,Chicago Bulls,128,13889,,
2021-11-01T19:30:00,Monday,New York Knicks,104,Toronto Raptors,113,13889,,
2021-11-01T20:00:00,Monday,Minnesota Timberwolves,97,Orlando Magic,115,13889,,
2021-11-01T20:00:00,Monday,Memphis Grizzlies,106,Denver Nuggets,97,13889,,
2021-11-01T22:30:00,Monday,Los Angeles Clippers,99,Oklahoma City Thunder,94,13889,,
2021-11-02T19:00:00,Tuesday,Detroit Pistons,89,Milwaukee Bucks,117,13889,,
2021-11-02T19:30:00,Tuesday,Dallas Mavericks,110,Miami Heat,125,13889,,
2021-11-02T21:00:00,Tuesday,Utah Jazz,119,Sacramento Kings,113,13889,,
2021-11-02T22:00:00,Tuesday,Phoenix Suns,112,New Orleans Pelicans,100,13889,,
2021-11-02T22:30:00,Tuesday,Los Angeles Lakers,119,Houston Rockets,117,13889,,
