date,team,player,role,MP,FG,FGA,FG_PCT,FG3,FG3A,FG3_PCT,FT,FTA,FT_PCT,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS
2019-10-23T20:30:00,Washington Wizards Basic and Advanced Stats Table,Rui Hachimura,Starter,24.4,7,15,0.467,0,3,0.0,0,0,,4,6,10,0,0,0,0,2,14,2.0
2019-10-23T20:30:00,Washington Wizards Basic and Advanced Stats Table,Ish Smith,Starter,24.4,3,9,0.333,1,4,0.25,0,0,,1,2,3,4,0,1,2,4,7,-4.0
2019-10-23T20:30:00,Washington Wizards Basic and Advanced Stats Table,Isaac Bonga,Starter,22.366666666666667,4,5,0.8,1,2,0.5,0,1,0.0,1,2,3,2,1,1,1,4,9,0.0
2019-10-23T20:30:00,Washington Wizards Basic and Advanced Stats Table,Dāvis Bertāns,Reserve,28.466666666666665,2,8,0.25,2,6,0.333,1,1,1.0,0,4,4,0,1,0,1,5,7,-17.0
2019-10-23T20:30:00,Washington Wizards Basic and Advanced Stats Table,Chris Chiozza,Reserve,19.316666666666663,2,5,0.4,2,3,0.667,0,0,,0,3,3,3,1,1,2,4,6,-3.0
2019-10-23T20:30:00,Washington Wizards Basic and Advanced Stats Table,Moritz Wagner,Reserve,16.266666666666666,4,5,0.8,3,4,0.75,2,2,1.0,1,1,2,0,0,0,5,6,13,5.0
2019-10-23T20:30:00,Washington Wizards Basic and Advanced Stats Table,Admiral Schofield,Reserve,16.266666666666666,0,3,0.0,0,3,0.0,0,0,,0,0,0,1,0,0,0,1,0,-7.0
2019-10-23T20:30:00,Washington Wizards Basic and Advanced Stats Table,Jordan McRae,Reserve,23.383333333333333,4,9,0.444,1,3,0.333,2,2,1.0,0,5,5,3,0,0,1,2,11,-7.0
2019-10-23T20:30:00,Washington Wizards Basic and Advanced Stats Table,Justin Robinson,Reserve,0.0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,3.0
2019-10-23T20:30:00,Washington Wizards Basic and Advanced Stats Table,Garrison Mathews,Reserve,0.0,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,3.0
2019-10-23T20:30:00,Dallas Mavericks Basic and Advanced Stats Table,Jalen Brunson,Reserve,24.4,3,10,0.3,1,3,0.333,2,4,0.5,1,3,4,3,2,0,4,3,9,2.0
2019-10-23T20:30:00,Dallas Mavericks Basic and Advanced Stats Table,Dorian Finney-Smith,Reserve,32.53333333333333,1,4,0.25,1,3,0.333,7,8,0.875,2,6,8,1,0,1,0,0,10,18.0
2019-10-23T20:30:00,Dallas Mavericks Basic and Advanced Stats Table,Courtney Lee,Starter,16.266666666666666,2,5,0.4,0,3,0.0,0,0,,0,1,1,0,0,0,0,2,4,-4.0
2019-10-23T20:30:00,Dallas Mavericks Basic and Advanced Stats Table,Tim Hardaway Jr.,Reserve,21.35,2,7,0.286,0,5,0.0,0,0,,0,1,1,1,0,0,0,4,4,2.0
2019-10-23T20:30:00,Dallas Mavericks Basic and Advanced Stats Table,Maxi Kleber,Starter,23.383333333333333,0,1,0.0,0,1,0.0,0,0,,1,7,8,1,0,3,3,4,0,-3.0
2019-10-23T20:30:00,Dallas Mavericks Basic and Advanced Stats Table,Kristaps Porziņģis,Starter,29.48333333333333,7,16,0.438,3,7,0.429,6,7,0.857,0,4,4,2,1,1,4,2,23,3.0
2019-10-23T20:30:00,Dallas Mavericks Basic and Advanced Stats Table,Luka Dončić,Starter,33.55,12,19,0.632,4,9,0.444,6,8,0.75,1,8,9,3,2,0,6,4,34,0.0
2019-10-23T20:30:00,Dallas Mavericks Basic and Advanced Stats Table,Justin Jackson,Reserve,18.3,4,6,0.667,0,2,0.0,2,2,1.0,0,4,4,2,0,0,0,1,10,10.0
2019-10-23T21:00:00,Utah Jazz Basic and Advanced Stats Table,Royce O'Neale,Starter,30.5,6,6,1.0,2,2,1.0,0,0,,0,5,5,0,1,0,1,4,14,-2.0
