date,weekday,home_team,home_score,away_team,away_score,attendance,overtime,remarks
2022-10-18T19:30:00,Tuesday,Boston Celtics,126,Philadelphia 76ers,117,19156,,
2022-10-18T22:00:00,Tuesday,Golden State Warriors,123,Los Angeles Lakers,109,19156,,
2022-10-19T19:00:00,Wednesday,Detroit Pistons,113,Orlando Magic,109,19156,,
2022-10-19T19:00:00,Wednesday,Indiana Pacers,107,Washington Wizards,114,19156,,
2022-10-19T19:30:00,Wednesday,Miami Heat,108,Chicago Bulls,116,19156,,
2022-10-19T19:30:00,Wednesday,Memphis Grizzlies,115,New York Knicks,112,19156,OT,
2022-10-19T19:30:00,Wednesday,Toronto Raptors,108,Cleveland Cavaliers,105,19156,,
2022-10-19T19:30:00,Wednesday,Atlanta Hawks,117,Houston Rockets,107,19156,,
2022-10-19T19:30:00,Wednesday,Brooklyn Nets,108,New Orleans Pelicans,130,19156,,
2022-10-19T20:00:00,Wednesday,Minnesota Timberwolves,115,Oklahoma City Thunder,108,19156,,
2022-10-19T20:00:00,Wednesday,San Antonio Spurs,102,Charlotte Hornets,129,19156,,
2022-10-19T21:00:00,Wednesday,Utah Jazz,123,Denver Nuggets,102,19156,,
2022-10-19T22:00:00,Wednesday,Phoenix Suns,107,Dallas Mavericks,105,19156,,
2022-10-19T22:00:00,Wednesday,Sacramento Kings,108,Portland Trail Blazers,115,19156,,
2022-10-20T19:30:00,Thursday,Philadelphia 76ers,88,Milwaukee Bucks,90,19156,,
2022-10-20T22:00:00,Thursday,Los Angeles Lakers,97,Los Angeles Clippers,103,19156,,
2022-10-21T19:00:00,Friday,Indiana Pacers,134,San Antonio Spurs,137,19156,,
2022-10-21T19:00:00,Friday,Washington Wizards,102,Chicago Bulls,100,19156,,
2022-10-21T19:00:00,Friday,Charlotte Hornets,112,New Orleans Pelicans,124,19156,,
2022-10-21T19:30:00,Friday,Atlanta Hawks,108,Orlando Magic,98,19156,,
2022-10-21T19:30:00,Friday,Brooklyn Nets,109,Toronto Raptors,105,19156,,
2022-10-21T19:30:00,Friday,Miami Heat,104,Boston Celtics,111,19156,,
2022-10-21T19:30:00,Friday,New York Knicks,130,Detroit Pistons,106,19156,,
2022-10-21T20:00:00,Friday,Houston Rockets,122,Memphis Grizzlies,129,19156,,
2022-10-21T20:00:00,Friday,Minnesota Timberwolves,126,Utah Jazz,132,19156,OT,
2022-10-21T22:00:00,Friday,Portland Trail Blazers,113,Phoenix Suns,111,19156,OT,
2022-10-21T22:00:00,Friday,Golden State Warriors,123,Denver Nuggets,128,19156,,
2022-10-22T18:00:00,Saturday,Philadelphia 76ers,105,San Antonio Spurs,114,19156,,
2022-10-22T19:00:00,Saturday,Indiana Pacers,124,Detroit Pistons,115,19156,,
2022-10-22T19:00:00,Saturday,Orlando Magic,120,Boston Celtics,126,19156,,
2022-10-22T20:00:00,Saturday,Chicago Bulls,96,Cleveland Cavaliers,128,19156,,
2022-10-22T20:00:00,Saturday,Miami Heat,112,Toronto Raptors,109,19156,,
2022-10-22T20:00:00,Saturday,Milwaukee Bucks,125,Houston Rockets,105,19156,,
2022-10-22T20:30:00,Saturday,Dallas Mavericks,137,Memphis Grizzlies,96,19156,,
2022-10-22T21:00:00,Saturday,Denver Nuggets,122,Oklahoma City Thunder,117,19156,,
2022-10-22T22:00:00,Saturday,Sacramento Kings,109,Los Angeles Clippers,111,19156,,
2022-10-23T15:30:00,Sunday,Los Angeles Lakers,104,Portland Trail Blazers,106,19156,,
2022-10-23T17:00:00,Sunday,Atlanta Hawks,109,Charlotte Hornets,126,19156,,
